FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,CA,050,00,00,000,0000002,0500000US06001,06001,4,9,06,01779778,001,H1,01675839,41860,1,488,36084,1910017353,216902808,Alameda,Alameda County,A,1682353,621958,+37.6471385,-121.9124880,06,06001,1682353,1491537,523836,164879,19659,545261,14123,223779,190816,171703,13579,10768,39888,2293,81119,2682,4125,640,4182,707,151,3685,3684,3285,915,16711,2460,1652,154,1551,1066,137,4502,1704,2121,206,176,34,231,205,194,30,64,77,20,127,2112,404,49,819,110,159,22,124,257,21,105,25,8,0,6,3,262,95,129,14,12,12,0,28,28,1682353,393749,1288604,1200067,472277,159499,4131,540511,13209,10440,88537,80792,11936,7033,37058,1921,9261,2221,3799,566,1376,452,92,59,3343,1125,550,6898,1803,1394,116,417,710,92,67,1444,315,15,105,17,71,157,72,13,25,7,3,55,750,300,27,120,99,71,2,78,5,0,27,14,3,0,1,3,92,48,23,7,7,7,0,5,5,1338388,1208791,448581,134525,14919,434901,10921,164944,129597,117917,8444,8557,21834,1557,61432,2112,2214,361,2852,426,119,2807,2882,1654,666,10250,1748,665,75,860,585,87,3459,1075,930,108,100,20,172,100,97,4,40,40,9,76,1246,229,28,585,41,81,5,75,105,12,46,25,7,0,4,3,159,51,85,7,7,9,0,25,25,1338388,286178,1052210,994680,410177,131210,3319,431949,10355,7670,57530,52710,7762,5969,20670,1375,7303,1834,2101,332,1126,276,83,49,2660,709,461,4280,1369,575,64,279,415,60,58,942,179,4,66,8,63,84,43,1,24,7,0,39,472,179,22,92,41,43,2,59,5,0,8,14,3,0,1,3,63,28,21,0,7,7,0,5,5,621958,591636,30322,53833,10130,3406,397,6218,109,43703,17463,421,25819
PLST,CA,050,00,00,000,0000003,0500000US06003,06003,4,9,06,01779778,003,H1,01675840,99999,9,999,99999,1912292607,12557304,Alpine,Alpine County,A,1204,1540,+38.6217831,-119.7983522,06,06003,1204,1085,814,10,236,12,0,13,119,89,5,10,6,1,50,5,2,1,0,1,1,3,2,2,0,20,2,0,4,0,0,2,3,0,4,1,0,0,1,1,0,1,0,1,0,0,9,2,0,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1204,84,1120,1044,801,10,214,12,0,7,76,56,5,10,4,1,25,5,0,1,0,1,0,1,2,1,0,15,2,0,3,0,0,2,0,0,4,1,0,0,1,1,0,0,0,1,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1009,941,736,9,174,11,0,11,68,54,5,1,2,1,40,0,2,0,0,0,1,1,0,1,0,8,1,0,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,62,947,915,726,9,162,11,0,7,32,26,5,1,0,1,18,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,530,1010,52,1,1,0,0,0,51,0,0,51
PLST,CA,050,00,00,000,0000004,0500000US06005,06005,4,9,06,01779778,005,H1,01675841,99999,9,999,99999,1539965777,29438413,Amador,Amador County,A,40474,18805,+38.4435493,-120.6538580,06,06005,40474,36596,31104,1236,757,582,82,2835,3878,3591,163,1123,307,59,1804,20,5,0,6,18,2,15,59,6,4,261,28,7,4,12,34,11,87,26,19,5,2,1,1,8,1,7,0,0,0,8,17,0,2,4,1,4,1,0,0,0,0,5,0,0,0,0,9,5,3,1,0,0,0,0,0,40474,6014,34460,32393,29725,1215,577,554,73,249,2067,1948,139,977,263,52,417,13,5,0,2,9,2,9,59,1,0,107,24,4,0,6,31,7,2,22,0,0,0,0,0,8,1,0,0,0,0,2,9,0,2,0,1,0,1,0,0,0,0,5,0,0,0,0,3,0,2,1,0,0,0,0,0,34042,31277,26465,1193,578,498,60,2483,2765,2617,99,831,185,42,1353,9,0,0,2,16,0,15,59,6,0,133,13,1,0,6,15,7,56,12,10,0,2,0,1,5,1,0,0,0,0,4,10,0,2,4,0,0,1,0,0,0,0,3,0,0,0,0,5,1,3,1,0,0,0,0,0,34042,4550,29492,27953,25572,1184,450,478,53,216,1539,1471,87,755,160,40,343,9,0,0,1,7,0,9,59,1,0,59,13,1,0,6,12,7,0,12,0,0,0,0,0,5,1,0,0,0,0,2,6,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,2,1,0,0,0,0,0,18805,15678,3127,4311,4098,4045,2,51,0,213,0,0,213
PLST,CA,050,00,00,000,0000005,0500000US06007,06007,4,9,06,01779778,007,H1,01675842,17020,1,999,99999,4238488698,105260548,Butte,Butte County,A,211632,90133,+39.6653362,-121.6032086,06,06007,211632,186947,149557,3644,4492,10533,573,18148,24685,22849,1764,6709,2396,388,10402,177,93,24,157,69,22,374,172,84,18,1652,345,97,16,124,162,61,480,182,87,21,16,1,21,4,7,0,5,16,1,6,156,30,7,41,1,6,7,29,23,2,7,0,2,0,0,1,28,12,11,2,3,0,0,0,0,211632,40112,171520,158046,139651,3320,3050,10333,508,1184,13474,12581,1537,5837,2174,348,2129,127,80,22,55,50,21,21,154,25,1,824,263,87,16,37,122,45,31,170,15,2,6,0,16,4,2,0,5,0,0,3,55,23,2,10,1,0,0,16,3,0,0,0,0,0,0,0,14,5,6,0,3,0,0,0,0,168339,151623,123122,2773,3324,7963,464,13977,16716,15688,852,4862,1444,259,7450,105,56,13,112,41,19,270,132,65,8,921,181,50,1,59,56,26,325,107,50,18,5,0,16,4,4,0,5,8,0,6,86,7,6,19,1,6,7,20,13,2,3,0,2,0,0,0,21,12,8,1,0,0,0,0,0,168339,28425,139914,130683,116628,2606,2317,7828,416,888,9231,8761,776,4390,1334,234,1637,79,50,11,39,31,18,18,120,23,1,443,144,44,1,24,49,26,25,100,4,2,0,0,12,4,0,0,5,0,0,3,19,5,1,5,1,0,0,7,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,90133,83268,6865,4941,1449,496,31,902,20,3492,2234,0,1258
PLST,CA,050,00,00,000,0000006,0500000US06009,06009,4,9,06,01779778,009,H1,01675885,99999,9,999,99999,2641837359,43789489,Calaveras,Calaveras County,A,45292,27422,+38.1910682,-120.5541065,06,06009,45292,40264,36315,364,747,743,100,1995,5028,4706,195,1513,428,110,2285,13,13,0,24,6,6,43,39,28,3,285,15,8,2,28,25,24,104,39,21,0,8,0,2,0,0,0,0,5,0,4,31,6,1,4,0,7,0,4,0,6,3,0,0,0,0,0,5,3,0,0,1,1,0,1,1,45292,5865,39427,36548,34668,334,497,706,75,268,2879,2748,182,1370,385,109,618,13,5,0,2,0,6,5,39,11,3,112,15,6,0,10,25,8,8,36,1,0,0,0,0,0,0,0,0,3,0,0,15,3,1,4,0,0,0,4,0,0,3,0,0,0,0,0,4,3,0,0,1,0,0,0,0,37337,33724,30591,278,613,652,82,1508,3613,3411,105,1163,237,80,1694,11,5,0,22,1,6,36,35,13,3,184,11,6,2,20,18,15,67,24,14,0,0,0,0,0,0,0,0,5,0,2,16,5,1,0,0,0,0,4,0,3,3,0,0,0,0,0,2,0,0,0,1,1,0,0,0,37337,4153,33184,31086,29518,254,422,621,66,205,2098,2006,101,1058,221,80,474,11,5,0,2,0,6,5,35,5,3,81,11,6,0,10,18,4,8,21,0,0,0,0,0,0,0,0,0,3,0,0,10,2,1,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27422,18758,8664,461,311,170,40,101,0,150,0,0,150
PLST,CA,050,00,00,000,0000007,0500000US06011,06011,4,9,06,01779778,011,H1,01675902,99999,9,999,99999,2980332727,14608884,Colusa,Colusa County,A,21839,8099,+39.1777385,-122.2375629,06,06011,21839,17580,9364,198,513,276,80,7149,4259,4084,36,301,97,11,3498,15,5,5,5,1,2,67,23,11,7,143,17,0,0,8,0,8,74,4,14,2,6,0,1,0,0,3,0,0,6,0,29,6,5,0,1,1,2,4,4,0,0,0,3,0,3,0,2,2,0,0,0,0,0,1,1,21839,13476,8363,7817,6941,182,280,252,70,92,546,502,13,249,84,8,96,10,4,5,3,1,2,0,22,5,0,27,13,0,0,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,6,0,15,4,0,0,1,0,0,4,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,15733,12898,7318,149,351,234,62,4784,2835,2725,20,209,51,6,2337,1,3,5,5,1,0,50,19,11,7,90,16,0,0,8,0,0,44,3,7,2,0,0,1,0,0,3,0,0,6,0,17,4,5,0,0,0,0,2,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,1,1,15733,8830,6903,6501,5832,138,198,211,55,67,402,363,8,187,44,6,83,0,3,5,3,1,0,0,18,5,0,25,12,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,6,0,12,4,0,0,0,0,0,2,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,0,8099,7227,872,193,162,68,0,94,0,31,0,0,31
PLST,CA,050,00,00,000,0000008,0500000US06013,06013,4,9,06,01779778,013,H1,01675903,41860,1,488,36084,1856838508,225278783,Contra Costa,Contra Costa County,A,1165927,423342,+37.9194790,-121.9515431,06,06013,1165927,1012452,501697,101485,12043,217823,6250,173154,153475,139638,9853,11095,28446,1868,73132,1609,2869,410,2757,436,83,2510,2121,2050,399,12241,1618,1262,185,1104,930,140,3260,1331,1561,190,123,8,127,117,125,14,29,30,10,77,1402,302,41,417,128,139,14,102,118,27,90,11,9,0,1,3,179,73,72,20,0,14,0,15,15,1165927,314900,851027,784574,455421,97994,2553,214520,5720,8366,66453,60937,8545,7967,25983,1510,8661,1347,2567,377,947,283,36,67,1891,589,167,4913,1125,1003,145,298,633,85,72,1050,146,26,90,7,32,107,47,3,21,1,0,22,531,191,21,96,70,43,13,70,4,6,6,8,2,0,1,0,59,41,12,6,0,0,0,13,13,902672,802591,413652,78292,9149,172070,4822,124606,100081,92322,5275,8404,14250,1215,53540,1196,1421,202,1700,301,52,1876,1582,1019,289,6939,1072,473,73,549,435,89,2385,727,687,100,64,7,87,57,53,4,25,20,0,32,699,143,16,253,47,53,4,54,60,12,41,5,7,0,1,3,110,44,43,15,0,8,0,11,11,902672,220469,682203,641378,382285,76478,2063,170082,4483,5987,40825,37694,4790,6450,13309,1050,6555,1053,1318,192,734,207,29,53,1459,358,137,2800,811,395,62,179,311,55,52,635,73,17,52,7,32,56,32,3,17,0,0,11,284,104,12,61,30,18,3,41,4,4,4,2,0,0,1,0,38,25,7,6,0,0,0,9,9,423342,407029,16313,11255,4526,1122,181,3199,24,6729,1461,0,5268
PLST,CA,050,00,00,000,0000009,0500000US06015,06015,4,9,06,01779778,015,H1,01682074,18860,2,999,99999,2606118035,578742633,Del Norte,Del Norte County,A,27743,11090,+41.7499033,-123.9809983,06,06015,27743,24304,17193,855,2434,840,46,2936,3439,3212,170,1318,190,38,1326,31,27,0,10,22,12,28,32,7,1,200,33,11,1,18,25,8,52,18,11,0,1,0,2,5,3,2,7,2,0,1,14,0,5,1,3,0,0,0,3,0,0,0,2,0,0,0,7,5,2,0,0,0,0,6,6,27743,5321,22422,20215,16262,841,2136,826,28,122,2207,2086,147,1148,164,38,453,25,27,0,3,20,12,12,30,6,1,108,33,6,1,2,25,7,5,14,0,0,1,0,2,5,0,0,7,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,6,6,22052,19802,14201,812,1618,585,23,2563,2250,2138,72,906,101,17,911,25,13,0,7,7,12,28,32,6,1,95,16,5,0,7,9,5,33,9,7,0,0,0,2,0,0,2,0,0,0,0,9,0,5,1,1,0,0,0,0,0,0,0,2,0,0,0,7,5,2,0,0,0,0,1,1,22052,3988,18064,16562,13613,803,1448,571,19,108,1502,1448,64,825,92,17,347,23,13,0,1,5,12,12,30,6,1,48,16,0,0,2,9,5,5,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,11090,9807,1283,3070,2909,2789,17,100,3,161,0,0,161
PLST,CA,050,00,00,000,0000010,0500000US06017,06017,4,9,06,01779778,017,H1,00277273,40900,1,472,99999,4423309715,203342317,El Dorado,El Dorado County,A,191185,93467,+38.7856116,-120.5342245,06,06017,191185,169237,146624,1537,1929,9200,313,9634,21948,20505,956,4381,3225,308,11023,32,54,3,79,39,25,122,178,72,8,1322,129,93,14,65,153,63,383,192,139,34,7,0,3,2,19,1,5,6,9,5,93,28,2,19,1,0,3,10,13,4,10,0,1,0,2,0,22,6,11,0,0,5,0,6,6,191185,26459,164726,153365,140141,1436,1273,9024,276,1215,11361,10725,860,3718,2955,273,2605,32,46,3,28,29,11,0,143,19,3,612,96,82,9,23,111,49,27,172,12,7,0,0,3,0,9,1,4,0,2,5,23,7,1,3,1,0,0,2,4,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,152083,137417,120376,1209,1492,7148,245,6947,14666,13886,494,3232,1646,181,7883,27,42,0,53,25,21,105,135,34,8,709,69,36,6,24,60,26,264,106,65,16,7,0,3,2,10,1,4,3,2,5,57,16,1,15,1,0,3,2,5,1,10,0,1,0,2,0,8,6,2,0,0,0,0,6,6,152083,17878,134205,126593,116249,1148,1007,7042,217,930,7612,7278,466,2864,1544,167,2002,27,35,0,22,18,11,0,114,5,3,314,55,32,1,9,49,26,27,94,0,1,0,0,3,0,5,1,4,0,2,5,19,7,0,3,1,0,0,0,3,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,93467,75320,18147,1271,693,432,44,201,16,578,0,0,578
PLST,CA,050,00,00,000,0000011,0500000US06019,06019,4,9,06,01779778,019,H1,00277274,23420,1,260,99999,15432139292,136609893,Fresno,Fresno County,A,1008654,338441,+36.7610058,-119.6550193,06,06019,1008654,845251,374678,48707,22043,113328,1665,284830,163403,155616,5652,11195,8756,685,118718,901,889,123,2089,540,60,3084,886,1770,268,7121,912,386,32,774,507,88,2736,367,892,86,36,13,90,62,47,8,17,24,10,34,589,154,4,197,14,33,9,21,98,5,40,9,4,0,0,1,72,21,43,3,1,4,0,5,5,1008654,540743,467911,438365,271889,44295,6074,109665,1233,5209,29546,27487,4522,7841,7192,535,4073,679,754,91,342,317,30,36,746,294,35,1875,581,282,23,110,311,47,56,300,39,2,20,13,25,47,7,0,2,0,0,10,163,107,2,16,9,1,0,7,10,2,2,7,0,0,0,0,21,19,2,0,0,0,0,0,0,730245,621483,292657,34327,15363,83051,1216,194869,108762,104466,2678,8191,4451,417,82465,575,342,67,1006,311,40,2219,662,865,177,3898,553,132,16,315,223,56,1861,208,345,39,14,9,40,29,16,2,3,18,7,12,340,93,4,133,5,14,0,9,44,4,26,6,1,0,0,1,54,16,30,3,1,4,0,4,4,730245,362203,368042,348814,226073,32283,4532,81347,968,3611,19228,18033,2309,6243,3901,342,3087,482,303,62,242,200,20,30,595,191,26,1085,399,105,12,59,144,35,45,188,20,2,10,9,15,26,7,0,2,0,0,7,92,63,2,14,0,0,0,5,1,2,1,4,0,0,0,0,18,16,2,0,0,0,0,0,0,338441,319296,19145,18416,11403,6885,221,2879,1418,7013,1837,0,5176
