FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,GA,050,00,00,000,0000002,0500000US13001,13001,3,5,13,01705317,001,H1,00349113,99999,9,999,99999,1316424660,10326621,Appling,Appling County,A,18444,8496,+31.7397120,-082.2901025,06,13001,18444,17737,13071,3387,91,128,1,1059,707,667,217,124,26,6,268,14,3,0,0,2,0,6,1,0,0,29,10,2,0,0,2,1,3,0,8,0,0,0,0,0,0,3,0,0,0,0,11,0,3,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18444,1825,16619,16202,12674,3339,33,123,1,32,417,391,205,121,26,0,23,12,1,0,0,2,0,0,1,0,0,21,10,2,0,0,2,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13958,13592,10299,2441,68,110,1,673,366,340,63,95,15,6,141,12,3,0,0,0,0,5,0,0,0,15,5,2,0,0,2,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,3,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13958,1118,12840,12624,10048,2425,31,105,1,14,216,196,58,93,15,0,17,12,1,0,0,0,0,0,0,0,0,15,5,2,0,0,2,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8496,7135,1361,398,392,270,43,79,0,6,0,0,6
PLST,GA,050,00,00,000,0000003,0500000US13003,13003,3,5,13,01705317,003,H1,00345784,20060,2,999,99999,887636774,4701677,Atkinson,Atkinson County,A,8286,3470,+31.2968056,-082.8781511,06,13003,8286,7613,5280,1213,64,13,4,1039,673,635,37,72,10,4,494,11,2,1,0,0,0,0,0,3,1,27,0,2,0,2,1,0,6,2,8,0,5,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8286,2048,6238,6071,4801,1208,30,12,4,16,167,144,37,67,8,4,17,11,0,0,0,0,0,0,0,0,0,13,0,0,0,2,1,0,1,0,3,0,5,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,6129,5701,4072,907,51,12,3,656,428,401,5,60,5,4,310,11,2,0,0,0,0,0,0,3,1,20,0,0,0,0,1,0,5,1,8,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,6129,1282,4847,4735,3787,906,27,12,3,0,112,95,5,55,5,4,15,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3470,3064,406,14,14,14,0,0,0,0,0,0,0
PLST,GA,050,00,00,000,0000004,0500000US13005,13005,3,5,13,01705317,005,H1,00344784,99999,9,999,99999,735770219,4506310,Bacon,Bacon County,A,11140,4807,+31.5502095,-082.4514325,06,13005,11140,10643,8251,1763,14,40,4,571,497,473,173,96,8,0,177,10,6,0,3,0,0,0,0,0,0,18,0,1,0,2,0,0,8,0,1,0,0,0,1,4,0,1,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11140,875,10265,9930,8103,1747,4,40,4,32,335,316,163,96,8,0,32,10,4,0,3,0,0,0,0,0,0,15,0,1,0,2,0,0,5,0,1,0,0,0,1,4,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8310,8038,6461,1174,14,33,4,352,272,264,59,76,4,0,115,10,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8310,547,7763,7589,6374,1158,4,33,4,16,174,169,55,76,4,0,24,10,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4807,4251,556,267,257,186,0,71,0,10,0,0,10
PLST,GA,050,00,00,000,0000005,0500000US13007,13007,3,5,13,01705317,007,H1,00342832,99999,9,999,99999,885665381,18598653,Baker,Baker County,A,2876,1447,+31.3195798,-084.4548812,06,13007,2876,2758,1536,1130,1,18,0,73,118,86,12,13,7,0,31,4,7,1,11,0,0,0,0,0,0,18,1,0,0,1,9,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,12,2,0,4,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2876,143,2733,2663,1514,1128,1,18,0,2,70,55,9,12,7,0,5,4,7,1,10,0,0,0,0,0,0,11,1,0,0,1,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2275,2210,1251,907,0,18,0,34,65,50,2,13,0,0,20,4,7,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2275,77,2198,2160,1235,905,0,18,0,2,38,30,1,12,0,0,2,4,7,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1447,1187,260,0,0,0,0,0,0,0,0,0,0
PLST,GA,050,00,00,000,0000006,0500000US13009,13009,3,5,13,01705317,009,H1,00345255,33300,2,999,99999,670025212,24806035,Baldwin,Baldwin County,A,43799,19988,+33.0594897,-083.2554566,06,13009,43799,42439,22655,18404,83,599,28,670,1360,1271,407,301,88,4,362,47,14,2,38,0,1,3,1,2,1,79,28,6,8,22,2,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,8,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,43799,1139,42660,41633,22432,18318,64,599,27,193,1027,977,401,296,88,4,105,43,13,2,23,0,0,1,1,0,0,44,18,6,8,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35732,34876,19545,14233,71,486,20,521,856,812,175,234,51,4,274,34,9,0,27,0,1,2,0,0,1,36,10,3,8,9,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35732,835,34897,34257,19377,14173,52,486,19,150,640,609,175,229,51,4,87,34,9,0,19,0,0,1,0,0,0,25,10,3,8,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19988,16511,3477,5255,2968,2470,39,459,0,2287,2203,0,84
PLST,GA,050,00,00,000,0000007,0500000US13011,13011,3,5,13,01705317,011,H1,00349230,99999,9,999,99999,602473940,4635947,Banks,Banks County,A,18035,7211,+34.3519216,-083.4984409,06,13011,18035,17053,15838,395,103,190,14,513,982,943,150,318,39,0,414,0,4,2,8,1,0,3,4,0,0,28,12,1,4,4,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,11,2,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18035,1164,16871,16251,15578,394,54,189,8,28,620,599,150,316,38,0,82,0,0,2,6,1,0,0,4,0,0,15,8,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,13330,12437,312,78,157,11,335,570,545,29,234,16,0,258,0,0,0,5,0,0,3,0,0,0,14,7,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900,721,13179,12818,12278,311,46,156,5,22,361,345,29,234,16,0,61,0,0,0,5,0,0,0,0,0,0,10,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7211,6652,559,0,0,0,0,0,0,0,0,0,0
PLST,GA,050,00,00,000,0000008,0500000US13013,13013,3,5,13,01705317,013,H1,00356976,12060,1,122,99999,417082919,4909580,Barrow,Barrow County,A,83505,30019,+33.9920094,-083.7123025,06,13013,83505,76740,57644,10369,405,3274,23,5025,6765,6447,1002,1351,368,35,3216,61,53,12,202,15,1,63,21,34,13,296,102,18,0,47,3,1,74,14,15,0,1,0,5,10,4,1,0,0,1,0,18,2,1,7,0,3,2,1,0,0,1,0,0,0,1,0,4,3,0,0,0,0,1,0,0,83505,10560,72945,69562,55582,10141,130,3233,17,459,3383,3216,943,1272,351,33,390,58,52,12,60,11,1,5,20,4,4,153,97,18,0,4,3,1,1,14,0,0,1,0,0,9,4,1,0,0,0,0,11,2,0,7,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,62195,58030,44477,7566,286,2397,17,3287,4165,3977,338,1021,175,20,2126,45,21,6,129,14,1,50,15,12,4,177,60,10,0,21,3,1,51,9,5,0,1,0,5,9,0,1,0,0,1,0,8,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,62195,6726,55469,53455,43241,7447,99,2380,17,271,2014,1914,324,977,175,18,272,45,20,6,43,10,1,5,14,4,0,93,56,10,0,3,3,1,0,9,0,0,1,0,0,9,0,1,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,30019,28727,1292,494,392,235,0,141,16,102,0,0,102
PLST,GA,050,00,00,000,0000009,0500000US13015,13015,3,5,13,01705317,015,H1,00351604,12060,1,122,99999,1188568883,27370205,Bartow,Bartow County,A,108901,42435,+34.2409175,-084.8381879,06,13015,108901,100984,82391,11512,481,1186,44,5370,7917,7525,1358,2272,329,40,3133,78,51,6,151,0,0,72,17,16,2,337,114,18,5,48,20,8,100,0,14,0,3,0,5,2,0,0,0,0,0,0,47,5,0,28,0,3,0,3,5,3,0,0,0,0,0,0,6,0,6,0,0,0,0,2,2,108901,10751,98150,93397,80159,11309,254,1169,40,466,4753,4552,1279,2195,321,38,504,78,51,5,45,0,0,4,17,15,0,181,97,17,5,21,18,8,8,0,5,0,0,0,0,2,0,0,0,0,0,0,14,2,0,9,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,2,83570,78629,65092,8656,394,952,25,3510,4941,4712,417,1767,162,24,2088,52,32,4,82,0,0,54,17,11,2,194,67,9,2,21,2,8,74,0,8,0,1,0,0,2,0,0,0,0,0,0,27,3,0,21,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,0,0,0,0,2,2,83570,6817,76753,73812,63759,8571,217,942,24,299,2941,2827,390,1721,162,24,386,52,32,4,25,0,0,4,17,10,0,98,55,9,2,12,2,8,8,0,0,0,0,0,0,2,0,0,0,0,0,0,10,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,2,42435,40045,2390,1030,834,502,12,320,0,196,16,0,180
PLST,GA,050,00,00,000,0000010,0500000US13017,13017,3,5,13,01705317,017,H1,00351606,22340,2,999,99999,647802123,9814374,Ben Hill,Ben Hill County,A,17194,8124,+31.7407715,-083.1471970,06,13017,17194,16434,9432,6267,70,119,0,546,760,713,202,165,25,0,273,27,1,1,12,0,0,0,0,0,7,47,9,0,2,5,2,1,9,0,3,5,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17194,1054,16140,15662,9219,6222,57,116,0,48,478,452,200,163,25,0,28,27,1,1,5,0,0,0,0,0,2,26,8,0,2,2,2,1,2,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13165,12693,7571,4608,58,91,0,365,472,441,92,127,18,0,175,18,0,0,6,0,0,0,0,0,5,31,8,0,0,2,2,1,7,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13165,653,12512,12210,7459,4587,45,91,0,28,302,281,91,125,18,0,23,18,0,0,4,0,0,0,0,0,2,21,7,0,0,2,2,1,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8124,7074,1050,281,249,77,0,172,0,32,0,0,32
PLST,GA,050,00,00,000,0000011,0500000US13019,13019,3,5,13,01705317,019,H1,00326638,99999,9,999,99999,1174239566,11671125,Berrien,Berrien County,A,18160,7991,+31.2886522,-083.2278695,06,13019,18160,17204,14643,1954,37,80,10,480,956,913,174,288,43,0,356,21,0,0,21,1,0,1,4,2,2,40,20,0,2,1,0,4,1,8,2,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18160,1045,17115,16504,14396,1934,22,80,10,62,611,575,164,277,41,0,65,19,0,0,3,0,0,0,4,2,0,33,16,0,2,1,0,4,0,8,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13690,13117,11308,1406,34,63,4,302,573,545,45,234,10,0,221,12,0,0,15,0,0,0,4,2,2,28,19,0,2,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13690,622,13068,12693,11181,1391,19,63,4,35,375,350,44,223,10,0,52,12,0,0,3,0,0,0,4,2,0,25,16,0,2,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7991,7118,873,162,154,64,0,90,0,8,0,0,8
