FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MI,050,00,00,000,0000002,0500000US26001,26001,2,3,26,01779789,001,H1,01622943,99999,9,999,99999,1747349242,2890404966,Alcona,Alcona County,A,10167,10263,+44.6575092,-083.2945804,06,26001,10167,9785,9644,23,61,14,1,42,382,371,35,151,16,6,143,0,10,0,0,0,0,8,1,0,1,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,122,10045,9715,9593,23,57,14,1,27,330,320,33,148,16,6,107,0,9,0,0,0,0,0,1,0,0,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8821,8541,8440,12,46,11,0,32,280,274,18,116,8,6,114,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8821,73,8748,8498,8410,12,46,11,0,19,250,244,18,113,8,6,89,0,9,0,0,0,0,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10263,4907,5356,74,53,7,0,46,0,21,0,0,21
PLST,MI,050,00,00,000,0000003,0500000US26003,26003,2,3,26,01779789,003,H1,01622944,99999,9,999,99999,2369927690,10703517569,Alger,Alger County,A,8842,6169,+46.5217365,-086.6571192,06,26003,8842,8351,7363,587,328,26,1,46,491,470,13,324,7,5,99,6,2,2,1,3,0,5,2,1,0,19,2,3,3,2,0,2,0,2,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8842,115,8727,8283,7323,585,327,22,1,25,444,427,13,312,7,2,82,5,0,2,0,0,0,1,2,1,0,16,1,3,3,2,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7442,7123,6241,583,235,18,1,45,319,311,5,220,5,3,71,0,2,2,0,0,0,3,0,0,0,7,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7442,72,7370,7080,6222,581,234,18,1,24,290,282,5,216,5,0,54,0,0,2,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6169,3609,2560,991,958,899,0,59,0,33,0,0,33
PLST,MI,050,00,00,000,0000004,0500000US26005,26005,2,3,26,01779789,005,H1,01622945,26090,2,266,99999,2137395679,2610802947,Allegan,Allegan County,A,120502,51789,+42.4212512,-086.2614034,06,26005,120502,112970,105564,1584,799,874,22,4127,7532,7153,958,1920,531,35,3538,38,0,0,73,3,0,44,1,10,2,348,147,4,0,56,34,0,48,22,33,1,3,0,0,0,0,0,0,0,0,0,24,11,3,2,0,0,0,0,0,0,5,3,0,0,0,0,7,4,3,0,0,0,0,0,0,120502,9389,111113,106387,103088,1446,561,839,20,433,4726,4488,897,1824,508,35,1154,33,0,0,29,3,0,2,1,1,1,215,119,4,0,24,34,0,4,22,6,0,2,0,0,0,0,0,0,0,0,0,20,11,3,1,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,91395,86857,81795,1028,570,654,18,2792,4538,4361,329,1350,208,21,2347,24,0,0,40,3,0,36,0,2,1,165,74,4,0,28,7,0,23,14,11,1,3,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,3,0,3,0,0,0,0,0,0,91395,5758,85637,82759,80454,963,407,641,18,276,2878,2764,314,1313,200,21,868,22,0,0,20,3,0,2,0,1,0,106,60,4,0,13,7,0,0,14,6,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,51789,45545,6244,930,724,169,1,554,0,206,0,0,206
PLST,MI,050,00,00,000,0000005,0500000US26007,26007,2,3,26,01779789,007,H1,01622946,10980,2,999,99999,1481205162,2908633230,Alpena,Alpena County,A,28907,15645,+44.8949540,-083.4265739,06,26007,28907,27656,27177,99,122,119,12,127,1251,1209,148,490,89,25,433,0,8,0,10,3,0,0,3,0,0,33,16,0,0,0,2,0,4,1,8,0,0,0,0,0,0,1,0,0,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,28907,417,28490,27416,27006,99,120,112,12,67,1074,1044,146,482,85,25,290,0,8,0,5,0,0,0,3,0,0,24,16,0,0,0,2,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,23539,22709,22342,63,96,102,8,98,830,805,53,370,43,14,312,0,2,0,8,0,0,0,3,0,0,17,9,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,23539,270,23269,22552,22239,63,94,95,8,53,717,697,53,362,43,14,217,0,2,0,3,0,0,0,3,0,0,15,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,15645,12901,2744,571,184,16,0,149,19,387,66,0,321
PLST,MI,050,00,00,000,0000006,0500000US26009,26009,2,3,26,01779789,009,H1,01622947,99999,9,999,99999,1232002675,326536774,Antrim,Antrim County,A,23431,17538,+45.0054553,-085.1756390,06,26009,23431,22372,21902,39,201,72,20,138,1059,1008,62,428,55,4,453,1,0,0,0,0,0,5,0,0,0,48,22,0,0,0,0,2,15,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,23431,459,22972,22117,21743,39,192,70,18,55,855,822,58,417,49,4,291,1,0,0,0,0,0,2,0,0,0,30,19,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,19314,18589,18234,23,158,58,16,100,725,694,25,315,21,2,326,1,0,0,0,0,0,4,0,0,0,28,14,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,19314,274,19040,18440,18155,23,153,56,14,39,600,579,25,308,21,2,220,1,0,0,0,0,0,2,0,0,0,18,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,17538,10147,7391,208,54,34,0,20,0,154,0,0,154
PLST,MI,050,00,00,000,0000007,0500000US26011,26011,2,3,26,01779789,011,H1,01622948,99999,9,999,99999,940627660,822313309,Arenac,Arenac County,A,15002,9504,+44.0368327,-083.7406755,06,26011,15002,14298,14017,35,130,38,1,77,704,652,55,349,28,4,215,0,0,0,0,0,0,1,0,0,0,44,5,3,0,2,1,0,19,0,0,4,7,0,0,0,2,0,0,0,0,1,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,15002,270,14732,14144,13919,35,126,38,1,25,588,568,55,336,27,4,146,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,1,0,1,0,0,4,1,0,0,0,2,0,0,0,0,1,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12327,11826,11605,25,108,35,1,52,501,462,25,255,18,4,159,0,0,0,0,0,0,1,0,0,0,36,5,0,0,2,0,0,15,0,0,4,7,0,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12327,178,12149,11725,11541,25,104,35,1,19,424,410,25,247,17,4,117,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9504,6631,2873,173,53,9,0,44,0,120,0,0,120
PLST,MI,050,00,00,000,0000008,0500000US26013,26013,2,3,26,01779789,013,H1,01622949,99999,9,999,99999,2326914269,441619528,Baraga,Baraga County,A,8158,5052,+46.6958592,-088.3618101,06,26013,8158,7528,5772,604,1097,16,3,36,630,599,16,458,16,2,65,21,0,1,1,8,0,1,4,3,3,16,7,1,0,0,0,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,12,1,0,5,4,0,0,0,0,0,0,2,0,0,0,0,3,1,2,0,0,0,0,0,0,8158,102,8056,7474,5753,598,1083,15,3,22,582,566,14,458,16,2,39,21,0,0,1,8,0,0,4,3,0,12,7,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,6715,6327,4883,599,808,12,1,24,388,372,5,285,7,0,45,12,0,1,1,8,0,1,4,3,0,7,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,7,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,6715,75,6640,6281,4866,593,794,11,1,16,359,350,5,285,7,0,25,12,0,0,1,8,0,0,4,3,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5052,3328,1724,878,850,806,0,44,0,28,0,0,28
PLST,MI,050,00,00,000,0000009,0500000US26015,26015,2,3,26,01779789,015,H1,01622950,99999,9,999,99999,1432533250,61999499,Barry,Barry County,A,62423,27351,+42.5828109,-085.3145503,06,26015,62423,59083,57488,313,261,247,15,759,3340,3185,380,1126,197,31,1403,6,7,1,0,0,1,26,6,1,0,145,57,9,5,6,10,0,31,2,22,0,3,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,62423,2142,60281,57753,56779,295,221,245,15,198,2528,2430,367,1083,197,31,731,4,7,1,0,0,0,2,6,1,0,88,54,9,3,0,10,0,2,0,7,0,3,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,48234,46169,45037,191,197,200,7,537,2065,1988,135,797,100,20,905,4,7,1,0,0,0,13,6,0,0,69,26,2,0,6,5,0,19,0,8,0,3,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,48234,1308,46926,45303,44606,182,171,200,7,137,1623,1575,130,773,100,20,533,4,7,1,0,0,0,1,6,0,0,40,26,2,0,0,5,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,27351,24076,3275,496,168,38,0,130,0,328,260,0,68
PLST,MI,050,00,00,000,0000010,0500000US26017,26017,2,3,26,01779789,017,H1,01622951,13020,1,474,99999,1145830342,487717966,Bay,Bay County,A,103856,48562,+43.6997112,-083.9787007,06,26017,103856,97365,93305,1705,463,538,5,1349,6491,6172,1316,1797,300,15,2635,28,5,2,33,0,0,28,9,4,0,293,105,25,6,54,23,0,57,8,8,0,0,0,0,3,2,1,0,0,0,1,20,2,4,3,0,0,0,3,5,0,0,0,3,0,0,0,6,1,0,4,0,1,0,0,0,103856,5930,97926,93563,90811,1598,359,538,0,257,4363,4185,1189,1659,292,15,981,20,3,2,10,0,0,1,9,4,0,159,93,18,6,13,20,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,2,5,0,0,0,3,0,0,0,5,1,0,4,0,0,0,0,0,83217,79260,76186,1222,355,445,5,1047,3957,3819,469,1321,161,0,1807,20,5,0,5,0,0,18,9,4,0,127,54,10,0,4,12,0,33,8,3,0,0,0,0,0,2,1,0,0,0,0,10,2,0,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,83217,3735,79482,76777,74716,1165,276,445,0,175,2705,2621,444,1247,161,0,727,20,3,0,5,0,0,1,9,4,0,77,49,10,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48562,45005,3557,1177,639,116,0,486,37,538,0,0,538
PLST,MI,050,00,00,000,0000011,0500000US26019,26019,2,3,26,01779789,019,H1,01622952,45900,2,999,99999,828014457,1398245676,Benzie,Benzie County,A,17970,12099,+44.6368444,-086.2319991,06,26019,17970,17170,16726,67,177,71,1,128,800,743,83,310,27,0,309,2,0,1,4,0,0,1,1,5,0,50,1,5,0,14,9,0,5,0,5,2,0,0,4,5,0,0,0,0,0,0,6,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,17970,391,17579,16953,16597,56,164,71,0,65,626,601,81,300,27,0,183,2,0,0,2,0,0,0,1,5,0,21,1,5,0,4,0,0,3,0,0,2,0,0,1,5,0,0,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14838,14280,13940,43,139,56,1,101,558,534,38,233,17,0,233,2,0,1,4,0,0,1,0,5,0,18,0,0,0,7,1,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,5,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,14838,261,14577,14129,13855,33,132,56,0,53,448,435,36,229,17,0,144,2,0,0,2,0,0,0,0,5,0,9,0,0,0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12099,7753,4346,197,135,7,0,128,0,62,0,0,62
