FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,NE,050,00,00,000,0000002,0500000US31001,31001,2,4,31,01779792,001,H1,00835823,25580,2,999,99999,1458872837,2477681,Adams,Adams County,A,31205,13806,+40.5206322,-098.5000441,06,31001,31205,29093,26656,258,186,429,9,1555,2112,2055,210,391,125,24,1255,18,0,0,12,0,0,13,1,6,0,55,9,3,0,4,3,0,20,14,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31205,3659,27546,26636,25779,247,119,415,9,67,910,893,194,354,117,24,185,14,0,0,0,0,0,0,1,4,0,15,7,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23842,22571,20860,197,131,341,9,1033,1271,1259,69,257,66,18,810,14,0,0,10,0,0,13,0,2,0,12,0,0,0,3,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23842,2238,21604,21061,20393,193,89,336,9,41,543,543,69,244,65,18,133,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13806,12690,1116,964,134,28,20,72,14,830,711,0,119
PLST,NE,050,00,00,000,0000003,0500000US31003,31003,2,4,31,01779792,003,H1,00835824,99999,9,999,99999,2220025613,3716675,Antelope,Antelope County,A,6295,3112,+42.1832253,-098.0580367,06,31003,6295,6091,5937,22,16,22,1,93,204,202,22,51,10,0,99,6,0,0,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6295,221,6074,5962,5899,22,16,22,0,3,112,111,19,49,10,0,24,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4823,4696,4593,12,16,20,1,54,127,125,13,31,8,0,55,6,0,0,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4823,116,4707,4623,4572,12,16,20,0,3,84,83,13,31,8,0,22,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3112,2670,442,56,56,20,0,36,0,0,0,0,0
PLST,NE,050,00,00,000,0000004,0500000US31005,31005,2,4,31,01779792,005,H1,00835825,99999,9,999,99999,1852234549,7644718,Arthur,Arthur County,A,434,226,+41.5719297,-101.6959166,06,31005,434,403,400,3,0,0,0,0,31,25,0,16,2,0,2,0,1,0,0,1,0,0,0,0,3,5,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,434,12,422,403,400,3,0,0,0,0,19,17,0,14,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,300,297,3,0,0,0,0,16,15,0,10,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,5,311,300,297,3,0,0,0,0,11,10,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,174,52,0,0,0,0,0,0,0,0,0,0
PLST,NE,050,00,00,000,0000005,0500000US31007,31007,2,4,31,01779792,007,H1,00835826,42420,2,999,99999,1932231568,392073,Banner,Banner County,A,674,327,+41.5397495,-103.7262626,06,31007,674,635,614,0,5,3,0,13,39,33,2,7,0,0,22,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,51,623,607,600,0,5,2,0,0,16,14,2,7,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,484,467,0,5,1,0,11,29,29,2,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,36,477,465,460,0,5,0,0,0,12,12,2,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,267,60,0,0,0,0,0,0,0,0,0,0
PLST,NE,050,00,00,000,0000006,0500000US31009,31009,2,4,31,01779792,009,H1,00835827,99999,9,999,99999,1840681023,9443894,Blaine,Blaine County,A,431,299,+41.9319450,-099.9964074,06,31009,431,407,397,1,0,3,0,6,24,20,0,17,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,11,420,399,397,1,0,1,0,0,21,19,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,331,329,0,0,1,0,1,12,10,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,2,341,330,329,0,0,1,0,0,11,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,199,100,0,0,0,0,0,0,0,0,0,0
PLST,NE,050,00,00,000,0000007,0500000US31011,31011,2,4,31,01779792,011,H1,00835828,99999,9,999,99999,1778138686,1745891,Boone,Boone County,A,5379,2554,+41.7039345,-098.0704764,06,31011,5379,5213,5091,21,18,7,1,75,166,159,9,38,5,6,94,0,0,0,0,0,0,7,0,0,0,7,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5379,183,5196,5106,5057,21,15,7,0,6,90,83,8,33,5,6,31,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091,3986,3912,11,9,4,1,49,105,99,4,22,4,6,60,0,0,0,0,0,0,3,0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4091,108,3983,3930,3901,11,8,4,0,6,53,47,3,18,4,6,16,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,2253,301,93,92,5,0,87,0,1,0,0,1
PLST,NE,050,00,00,000,0000008,0500000US31013,31013,2,4,31,01779792,013,H1,00835991,99999,9,999,99999,2785180098,6588657,Box Butte,Box Butte County,A,10842,5234,+42.2103804,-103.0817795,06,31013,10842,9989,9063,66,365,75,5,415,853,809,52,274,36,2,434,3,0,0,0,0,0,8,0,0,0,39,3,4,0,4,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10842,1246,9596,9128,8681,66,293,71,0,17,468,456,48,251,34,2,118,3,0,0,0,0,0,0,0,0,0,7,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8184,7706,7063,52,218,55,0,318,478,458,16,141,20,0,275,0,0,0,0,0,0,6,0,0,0,18,0,4,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8184,763,7421,7158,6867,52,184,51,0,4,263,257,16,134,18,0,89,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5234,4566,668,121,113,18,0,95,0,8,0,0,8
PLST,NE,050,00,00,000,0000009,0500000US31015,31015,2,4,31,01779792,015,H1,00835829,99999,9,999,99999,1398424238,11893556,Boyd,Boyd County,A,1810,1226,+42.8944477,-098.7730221,06,31015,1810,1755,1724,0,18,0,0,13,55,46,0,23,1,2,17,0,0,0,1,1,0,0,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1810,33,1777,1738,1723,0,11,0,0,4,39,35,0,23,0,0,11,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,1428,1410,0,9,0,0,9,34,29,0,12,0,0,16,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1462,17,1445,1419,1410,0,5,0,0,4,26,23,0,12,0,0,10,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,833,393,26,26,0,0,26,0,0,0,0,0
PLST,NE,050,00,00,000,0000010,0500000US31017,31017,2,4,31,01779792,017,H1,00835830,99999,9,999,99999,3163296263,9814399,Brown,Brown County,A,2903,1642,+42.3595618,-099.9239198,06,31017,2903,2790,2664,2,12,8,0,104,113,103,3,46,8,2,35,1,0,0,5,0,3,0,0,0,0,7,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,2903,176,2727,2646,2629,2,7,6,0,2,81,76,1,44,8,2,14,1,0,0,3,0,3,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2308,2236,2145,0,9,6,0,76,72,67,0,29,5,2,30,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,2308,123,2185,2135,2125,0,5,5,0,0,50,49,0,27,5,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1642,1350,292,25,25,5,0,20,0,0,0,0,0
PLST,NE,050,00,00,000,0000011,0500000US31019,31019,2,4,31,01779792,019,H1,00835831,28260,2,999,99999,2507679097,18593336,Buffalo,Buffalo County,A,50084,20947,+40.8552654,-099.0749839,06,31019,50084,47159,43363,643,275,670,33,2175,2925,2808,271,602,179,13,1671,8,2,1,15,3,4,22,4,4,9,104,20,3,0,8,2,0,57,8,3,0,0,0,2,0,0,0,1,0,0,0,10,4,0,0,0,0,0,0,2,2,0,0,2,0,0,0,3,1,1,0,0,0,1,0,0,50084,5062,45022,43644,42108,600,149,660,33,94,1378,1335,260,536,178,13,328,6,2,0,0,3,4,0,0,3,2,36,18,3,0,0,2,0,2,8,0,0,0,0,2,0,0,0,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,38037,36387,33581,453,192,585,25,1551,1650,1590,82,361,86,6,1016,5,2,0,5,0,2,13,4,3,5,56,8,0,0,3,2,0,33,8,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,38037,3197,34840,34073,32858,434,113,575,25,68,767,745,80,336,86,6,224,5,2,0,0,0,2,0,0,2,2,21,7,0,0,0,2,0,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20947,19590,1357,2494,813,216,0,580,17,1681,1564,0,117
