FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,NH,050,00,00,000,0000002,0500000US33001,33001,1,1,33,01779794,001,H1,00873174,29060,2,148,99999,1040779615,176541257,Belknap,Belknap County,A,63705,38252,+43.5191091,-071.4253661,06,33001,63705,60615,59134,359,128,588,14,392,3090,2942,266,1221,280,15,1094,4,4,5,34,2,0,11,4,2,0,143,50,0,7,16,24,4,10,12,14,3,0,0,2,0,0,0,0,1,0,0,5,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63705,1261,62444,59941,58714,324,122,582,11,188,2503,2396,245,1188,276,15,631,4,4,4,12,2,0,11,4,0,0,105,40,0,7,0,24,4,5,12,10,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52453,50361,49228,249,106,480,9,289,2092,2008,80,908,159,9,811,4,4,5,13,0,0,10,3,2,0,80,29,0,0,6,11,4,10,7,7,3,0,0,2,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52453,788,51665,49943,48989,226,100,474,6,148,1722,1666,77,892,158,9,505,4,4,4,0,0,0,10,3,0,0,55,22,0,0,0,11,4,5,7,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38252,27027,11225,1002,739,62,0,658,19,263,26,0,237
PLST,NH,050,00,00,000,0000003,0500000US33003,33003,1,1,33,01779794,003,H1,00873175,99999,9,999,99999,2413515434,159620276,Carroll,Carroll County,A,50107,39670,+43.8677742,-071.2015596,06,33003,50107,48155,47199,134,111,359,9,343,1952,1851,128,762,173,18,737,3,5,3,2,6,0,0,9,5,0,87,19,11,2,5,11,3,15,2,0,4,0,7,3,1,3,0,0,0,1,0,13,3,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50107,769,49338,47748,46947,131,100,358,6,206,1590,1531,125,746,169,16,451,3,5,3,0,0,0,0,9,4,0,51,19,11,2,2,8,0,0,1,0,1,0,4,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,42566,41165,40425,98,98,283,9,252,1401,1343,65,580,90,15,573,3,0,1,2,6,0,0,3,5,0,48,16,9,0,2,3,0,7,2,0,2,0,3,2,1,1,0,0,0,0,0,9,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42566,535,42031,40894,40261,98,88,283,6,158,1137,1103,62,567,90,15,358,3,0,1,0,0,0,0,3,4,0,30,16,9,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39670,22667,17003,558,340,41,0,299,0,218,0,0,218
PLST,NH,050,00,00,000,0000004,0500000US33005,33005,1,1,33,01779794,005,H1,00873176,28300,2,999,99999,1830367250,57589051,Cheshire,Cheshire County,A,76458,35612,+42.9254596,-072.2481828,06,33005,76458,72558,69907,708,169,1079,53,642,3900,3684,363,1391,424,36,1388,14,7,4,18,1,4,3,19,10,2,181,55,10,3,21,21,7,28,9,15,1,0,1,2,0,0,2,1,0,2,3,28,1,0,18,1,2,0,0,0,0,3,0,0,0,3,0,7,5,2,0,0,0,0,0,0,76458,1802,74656,71476,69264,648,146,1067,46,305,3180,3049,352,1353,400,35,847,9,7,3,9,1,4,0,19,10,0,121,50,10,3,12,20,7,0,9,5,0,0,0,0,0,0,2,0,0,0,3,8,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,62705,60121,58020,579,146,848,40,488,2584,2470,157,1036,201,16,993,8,6,1,17,1,4,0,19,9,2,96,23,0,3,13,13,3,16,5,12,1,0,1,2,0,0,2,0,0,0,2,13,1,0,9,1,2,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,62705,1246,61459,59317,57575,532,123,836,33,218,2142,2073,156,1020,194,16,634,5,6,0,9,1,4,0,19,9,0,62,22,0,3,8,12,3,0,5,5,0,0,0,0,0,0,2,0,0,0,2,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35612,31372,4240,4107,694,99,0,595,0,3413,2970,0,443
PLST,NH,050,00,00,000,0000005,0500000US33007,33007,1,1,33,01779794,007,H1,00873177,13620,2,999,99999,4647923092,92546791,Coos,Coos County,A,31268,20444,+44.6525477,-071.2894309,06,33007,31268,29925,28946,526,93,202,3,155,1343,1277,112,621,105,2,423,8,0,0,3,1,0,0,2,0,0,49,7,4,0,10,5,1,6,4,1,0,0,5,2,0,0,0,0,4,0,0,9,0,0,1,0,1,0,0,3,0,0,0,0,0,4,0,8,5,2,1,0,0,0,0,0,31268,672,30596,29474,28629,494,84,193,3,71,1122,1078,105,608,103,2,252,5,0,0,0,1,0,0,2,0,0,37,7,4,0,0,5,1,6,4,1,0,0,5,0,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,26167,25267,24427,483,80,165,3,109,900,861,48,465,54,0,284,7,0,0,3,0,0,0,0,0,0,28,3,4,0,0,5,0,6,4,1,0,0,5,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,26167,469,25698,24917,24178,451,75,156,3,54,781,748,41,459,53,0,190,5,0,0,0,0,0,0,0,0,0,28,3,4,0,0,5,0,6,4,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20444,13908,6536,1313,1229,715,10,504,0,84,0,0,84
PLST,NH,050,00,00,000,0000006,0500000US33009,33009,1,1,33,01779794,009,H1,00873178,30100,2,999,99999,4425249894,106463952,Grafton,Grafton County,A,91118,50840,+43.9264391,-071.8424242,06,33009,91118,86114,81268,819,222,2867,24,914,5004,4748,467,1573,799,34,1787,13,9,0,49,0,0,8,4,4,1,217,43,51,0,25,8,0,52,13,15,2,0,0,2,0,5,0,0,1,0,0,36,5,0,8,0,7,1,0,4,2,6,2,0,0,1,0,3,0,0,0,0,0,3,0,0,91118,2579,88539,84580,80370,783,180,2855,24,368,3959,3820,435,1509,763,34,1028,11,9,0,23,0,0,2,4,1,1,116,35,51,0,1,8,0,1,13,4,0,0,0,0,0,3,0,0,0,0,0,22,4,0,3,0,5,0,0,0,2,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,76702,73137,69087,648,196,2429,20,757,3565,3384,310,1214,432,24,1350,9,5,0,27,0,0,6,2,4,1,162,35,45,0,16,2,0,36,12,10,0,0,0,2,0,3,0,0,1,0,0,16,5,0,2,0,0,1,0,4,2,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,76702,1906,74796,71924,68408,629,165,2418,20,284,2872,2768,298,1187,422,24,809,9,5,0,10,0,0,0,2,1,1,95,27,45,0,1,2,0,1,12,4,0,0,0,0,0,3,0,0,0,0,0,8,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,50840,37683,13157,7432,947,75,83,789,0,6485,5920,0,565
PLST,NH,050,00,00,000,0000007,0500000US33011,33011,1,1,33,01779794,011,H1,00873179,31700,1,148,99999,2270191096,41320770,Hillsborough,Hillsborough County,A,422937,175571,+42.9115317,-071.7230554,06,33011,422937,393747,350270,10937,1021,16523,141,14855,29190,27716,3184,5120,3256,146,14237,166,68,26,1122,26,0,120,65,118,62,1335,372,98,10,388,78,4,198,78,68,9,0,6,17,0,5,1,1,2,0,0,124,32,0,83,0,0,0,5,1,0,0,0,0,2,0,1,15,13,0,2,0,0,0,0,0,422937,33498,389439,372234,342652,10044,630,16413,112,2383,17205,16413,2783,4852,3160,129,4870,135,62,22,223,24,0,8,65,76,4,735,293,86,10,129,71,4,33,69,23,3,0,6,5,0,0,1,0,2,0,0,50,20,0,21,0,0,0,5,1,0,0,0,0,2,0,1,7,5,0,2,0,0,0,0,0,338264,319287,287294,7690,778,12687,112,10726,18977,18120,1431,3940,1593,89,9801,135,38,17,793,15,0,85,51,87,45,756,220,51,7,200,42,4,137,40,31,3,0,6,9,0,5,1,0,0,0,0,88,24,0,56,0,0,0,5,1,0,0,0,0,1,0,1,13,11,0,2,0,0,0,0,0,338264,22161,316103,304951,282873,7123,493,12619,93,1750,11152,10714,1273,3797,1553,76,3564,105,36,17,163,13,0,4,51,58,4,405,168,46,7,65,39,4,25,36,5,3,0,6,0,0,0,1,0,0,0,0,28,13,0,7,0,0,0,5,1,0,0,0,0,1,0,1,5,3,0,2,0,0,0,0,0,175571,167875,7696,8354,3186,334,168,2626,58,5168,3402,0,1766
PLST,NH,050,00,00,000,0000008,0500000US33013,33013,1,1,33,01779794,013,H1,00873180,18180,2,148,99999,2416197730,57178203,Merrimack,Merrimack County,A,153808,65565,+43.2995786,-071.6800412,06,33013,153808,145892,138454,2650,362,3026,64,1336,7916,7584,864,2512,851,61,3070,20,22,18,101,15,0,16,12,20,2,306,125,14,2,52,23,3,49,20,3,1,0,2,6,3,0,1,0,2,0,0,22,0,0,15,0,2,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,153808,3880,149928,143745,137252,2536,310,3013,59,575,6183,5990,803,2449,840,59,1708,17,19,18,26,15,0,4,12,20,0,179,95,12,2,26,17,3,0,20,0,0,0,0,0,3,0,1,0,0,0,0,10,0,0,4,0,2,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,125255,119876,114147,1965,293,2378,49,1044,5379,5195,433,1927,417,33,2210,19,21,18,74,11,0,7,11,12,2,164,71,7,0,27,7,0,31,8,2,0,0,2,6,0,0,1,0,2,0,0,17,0,0,13,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,125255,2658,122597,118373,113375,1882,266,2369,45,436,4224,4125,396,1888,413,33,1294,16,18,18,15,11,0,0,11,12,0,90,57,7,0,11,6,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,65565,60420,5145,8211,3610,2530,73,999,8,4601,3528,0,1073
PLST,NH,050,00,00,000,0000009,0500000US33015,33015,1,1,33,01779794,015,H1,00873181,14460,1,148,40484,1801055120,258626550,Rockingham,Rockingham County,A,314176,135338,+42.9886636,-071.0990801,06,33015,314176,298648,285715,2278,460,6316,92,3787,15528,14795,1506,3432,2105,116,7169,56,27,5,255,14,2,45,36,10,17,652,177,55,2,131,64,3,133,24,44,13,0,1,2,0,1,0,0,0,0,2,65,1,1,53,1,8,0,1,0,0,0,0,0,0,0,0,16,0,6,7,0,2,1,0,0,314176,10257,303919,293079,283099,2076,342,6247,79,1236,10840,10488,1388,3309,2046,113,3400,45,27,5,87,13,2,3,36,7,7,335,136,47,2,37,58,3,17,24,8,2,0,1,0,0,0,0,0,0,0,0,11,0,1,3,0,6,0,1,0,0,0,0,0,0,0,0,6,0,0,3,0,2,1,0,0,254087,244060,234040,1756,373,4985,67,2839,10027,9625,729,2628,963,80,4875,43,11,4,198,10,2,28,32,5,17,361,105,20,0,72,25,3,86,17,22,6,0,0,2,0,1,0,0,0,0,2,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,3,0,1,1,0,0,254087,6710,247377,240295,232442,1614,290,4945,59,945,7082,6873,681,2553,939,80,2449,36,11,4,63,9,2,3,32,4,7,202,85,19,0,27,25,3,16,17,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,1,0,0,135338,125787,9551,2361,1701,163,9,1529,0,660,134,0,526
PLST,NH,050,00,00,000,0000010,0500000US33017,33017,1,1,33,01779794,017,H1,00873182,14460,1,148,40484,951743430,39154073,Strafford,Strafford County,A,130889,55706,+43.2932725,-071.0355891,06,33017,130889,123633,115890,1513,310,4506,47,1367,7256,6830,999,1856,998,86,2671,29,29,3,87,0,0,17,37,18,0,393,105,81,1,72,21,2,53,25,12,1,0,2,2,13,1,0,0,1,0,1,30,1,1,18,7,0,0,0,2,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,130889,3914,126975,121202,114599,1434,251,4473,42,403,5773,5489,958,1799,990,76,1555,20,29,0,17,0,0,4,36,5,0,268,88,81,1,23,21,2,4,25,9,1,0,2,1,9,0,0,0,0,0,1,13,1,1,7,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,107455,102553,96337,1223,267,3609,37,1080,4902,4640,509,1490,543,45,1887,21,20,3,70,0,0,16,26,10,0,244,60,64,1,34,8,2,36,14,8,0,0,2,0,12,1,0,0,1,0,1,18,1,1,13,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107455,2807,104648,100717,95404,1164,224,3583,33,309,3931,3759,500,1458,539,41,1138,14,20,0,16,0,0,4,25,4,0,167,48,64,1,10,8,2,4,14,5,0,0,2,0,8,0,0,0,0,0,1,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55706,51454,4252,8574,1488,333,55,1076,24,7086,6794,0,292
PLST,NH,050,00,00,000,0000011,0500000US33019,33019,1,1,33,01779794,019,H1,00873183,30100,2,999,99999,1393091317,36932078,Sullivan,Sullivan County,A,43063,21797,+43.3611883,-072.2220839,06,33019,43063,40500,39420,203,155,405,6,311,2563,2449,187,1060,160,26,954,9,9,0,14,2,1,3,6,16,2,102,39,10,2,15,5,1,15,4,6,2,1,0,1,0,1,0,0,0,0,0,6,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,6,0,0,4,0,1,1,0,0,43063,822,42241,40032,39123,185,134,403,6,181,2209,2133,182,1046,160,24,682,0,9,0,13,2,1,0,6,8,0,69,38,10,2,3,5,1,2,4,0,2,1,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,35026,33263,32441,150,122,308,5,237,1763,1711,84,820,79,19,669,0,9,0,14,2,1,0,6,6,2,45,22,0,0,6,0,0,8,4,0,2,1,0,1,0,1,0,0,0,0,0,5,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,35026,520,34506,32943,32246,139,106,306,5,141,1563,1526,83,812,79,17,504,0,9,0,13,2,1,0,6,0,0,31,22,0,0,0,0,0,1,4,0,2,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,21797,18164,3633,823,348,43,17,288,0,475,109,0,366
