FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,NV,050,00,00,000,0000002,0500000US32001,32001,4,8,32,01779793,001,H1,00858638,21980,2,999,99999,12820847811,190742991,Churchill,Churchill County,A,25516,10772,+39.5377097,-118.2641661,06,32001,25516,22623,18717,460,1174,680,93,1499,2893,2717,232,810,345,24,1162,19,26,4,29,3,1,19,27,10,6,144,21,11,4,18,12,4,45,17,1,2,3,0,0,1,0,3,0,2,0,0,29,4,0,3,5,0,0,12,3,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,25516,3586,21930,20174,17870,428,1006,640,87,143,1756,1653,216,708,317,24,313,18,26,3,6,2,0,0,18,2,0,77,21,11,4,7,10,1,5,15,0,2,0,0,0,1,0,0,0,0,0,0,23,4,0,3,5,0,0,9,0,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,19781,17945,15017,367,874,572,73,1042,1836,1747,86,557,193,14,814,18,14,3,15,1,1,11,12,3,5,71,13,4,0,4,7,4,24,9,0,0,3,0,0,0,0,3,0,0,0,0,16,0,0,0,3,0,0,9,3,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,19781,2270,17511,16382,14520,357,784,544,71,106,1129,1074,82,511,183,14,230,18,14,2,6,0,0,0,12,2,0,43,13,4,0,4,7,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,6,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,10772,10017,755,449,215,69,12,134,0,234,0,157,77
PLST,NV,050,00,00,000,0000003,0500000US32003,32003,4,8,32,01779793,003,H1,00863600,29820,1,332,99999,20439281712,438410943,Clark,Clark County,A,2265461,917656,+36.2141295,-115.0143977,06,32003,2265461,1933366,1016368,286684,23735,237663,20572,348344,332095,304899,28689,20513,35451,4540,181736,3902,5273,1479,8513,528,173,3706,7238,2553,605,24293,3596,2411,469,2840,1245,242,3997,5624,1901,281,230,64,281,483,233,64,85,44,9,194,2597,440,115,649,350,174,33,383,133,22,224,31,24,3,16,0,284,137,90,0,41,16,0,22,22,2265461,701416,1564045,1440030,892802,275002,8487,231972,18877,12890,124015,109510,24999,15965,32188,3955,12276,3364,4791,1329,2871,362,113,124,6486,580,107,13119,2820,2003,397,813,905,185,157,4706,189,26,199,52,101,387,83,14,45,2,0,35,1244,308,92,208,240,54,9,259,0,4,27,29,10,0,4,0,134,89,26,0,13,6,0,8,8,1751240,1531997,840515,211820,18363,199001,15166,247132,219243,204390,13975,15913,19584,2742,130449,2856,2771,617,5408,372,112,2786,5123,1313,369,13404,2277,834,163,1288,652,157,2913,3268,817,122,147,31,183,204,98,24,60,26,8,132,1290,224,57,413,112,60,5,203,66,9,108,16,12,3,2,0,139,64,61,0,6,8,0,20,20,1751240,482343,1268897,1190854,758996,205731,6995,195748,14209,9175,78043,69786,12770,13097,18388,2512,9604,2567,2590,571,2092,253,69,97,4730,360,86,7526,1895,696,154,478,511,126,114,2877,116,14,134,27,80,173,47,11,36,2,0,35,650,170,47,132,79,18,5,154,0,4,22,16,3,0,0,0,74,42,24,0,6,2,0,7,7,917656,845888,71768,19950,15225,11232,299,3424,270,4725,904,567,3254
PLST,NV,050,00,00,000,0000004,0500000US32005,32005,4,8,32,01779793,005,H1,00858643,23820,2,456,99999,1840147662,72317573,Douglas,Douglas County,A,49488,24309,+38.9051292,-119.6090191,06,32005,49488,44837,40307,243,1014,934,95,2244,4651,4360,185,1013,475,93,2452,7,4,1,19,14,4,47,31,14,1,255,16,24,0,15,31,7,65,55,29,2,2,0,0,0,0,3,1,3,0,2,31,6,7,8,0,0,0,0,4,2,3,1,0,0,0,0,5,4,0,0,0,1,0,0,0,49488,6141,43347,41065,38856,183,807,898,81,240,2282,2158,175,868,444,80,537,7,4,0,0,8,4,0,31,0,0,97,10,15,0,2,14,0,0,48,2,0,2,0,0,0,0,3,1,0,0,0,24,6,7,8,0,0,0,0,2,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,41225,37961,34542,199,736,800,67,1617,3264,3104,112,754,257,60,1815,3,3,1,13,10,3,37,31,4,1,142,11,6,0,1,25,4,46,30,12,0,0,0,0,0,0,1,1,3,0,2,17,2,4,2,0,0,0,0,4,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,41225,4249,36976,35311,33553,157,578,775,65,183,1665,1602,112,681,249,59,453,3,3,0,0,8,3,0,31,0,0,51,9,2,0,0,12,0,0,25,1,0,0,0,0,0,0,1,1,0,0,0,11,2,4,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24309,21400,2909,234,96,12,24,51,9,138,0,0,138
PLST,NV,050,00,00,000,0000005,0500000US32007,32007,4,8,32,01779793,007,H1,00857664,21220,2,999,99999,44479019310,74784559,Elko,Elko County,A,53702,21770,+41.1411327,-115.3514239,06,32007,53702,47785,37435,522,2849,598,87,6294,5917,5694,230,1195,339,65,3632,10,7,6,32,9,16,86,37,26,4,190,13,7,5,12,10,0,74,24,14,0,8,1,6,3,0,1,1,5,1,5,27,0,0,9,2,0,0,2,6,0,1,0,2,5,0,0,5,2,0,0,1,0,2,1,1,53702,13592,40110,37936,34177,494,2378,555,85,247,2174,2115,210,1002,306,58,449,10,6,6,1,9,14,2,37,5,0,54,9,0,2,2,9,0,4,15,2,0,5,0,1,2,0,1,1,1,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,38408,34833,27617,375,2047,455,65,4274,3575,3464,104,731,162,25,2287,4,7,4,25,9,11,55,24,13,3,93,6,3,2,6,5,0,48,9,0,0,4,1,1,1,0,0,1,1,0,5,13,0,0,5,2,0,0,1,0,0,1,0,2,2,0,0,4,1,0,0,1,0,2,1,1,38408,8569,29839,28503,25741,362,1741,432,63,164,1336,1306,101,649,154,25,320,4,6,4,1,9,9,0,24,0,0,26,2,0,2,2,4,0,4,9,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21770,19631,2139,655,500,367,36,97,0,155,44,0,111
PLST,NV,050,00,00,000,0000006,0500000US32009,32009,4,8,32,01779793,009,H1,00858641,99999,9,999,99999,9277050177,18552010,Esmeralda,Esmeralda County,A,729,537,+37.7789658,-117.6323824,06,32009,729,653,548,4,30,6,0,65,76,58,6,19,1,1,23,0,0,0,0,0,0,3,3,2,0,17,0,0,0,2,1,2,8,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,729,139,590,549,521,4,20,4,0,0,41,33,6,19,1,1,1,0,0,0,0,0,0,0,3,2,0,7,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,596,547,468,1,22,4,0,52,49,38,0,12,1,1,21,0,0,0,0,0,0,3,0,0,0,10,0,0,0,2,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,596,108,488,470,449,1,16,4,0,0,18,15,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,537,365,172,1,1,1,0,0,0,0,0,0,0
PLST,NV,050,00,00,000,0000007,0500000US32011,32011,4,8,32,01779793,011,H1,00858640,21220,2,999,99999,10814982421,11058701,Eureka,Eureka County,A,1855,962,+39.9777878,-116.2722082,06,32011,1855,1662,1577,3,22,4,3,53,193,167,4,38,6,0,104,0,2,4,0,0,2,0,3,4,0,11,0,1,0,0,0,0,0,4,0,0,1,1,2,0,0,1,0,0,0,1,11,4,2,1,0,1,0,2,0,0,0,0,1,0,0,0,4,3,1,0,0,0,0,0,0,1855,178,1677,1586,1545,2,21,4,3,11,91,78,2,36,6,0,30,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1449,1301,1243,2,8,2,3,43,148,131,2,26,1,0,89,0,2,4,0,0,0,0,3,4,0,7,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,7,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1449,130,1319,1250,1226,2,8,2,3,9,69,61,2,26,1,0,28,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,962,802,160,0,0,0,0,0,0,0,0,0,0
PLST,NV,050,00,00,000,0000008,0500000US32013,32013,4,8,32,01779793,013,H1,00863310,49080,2,999,99999,24969535443,44194837,Humboldt,Humboldt County,A,17285,7658,+41.4079136,-118.1275915,06,32013,17285,15265,12063,147,697,164,27,2167,2020,1931,69,356,98,13,1333,5,0,0,3,0,12,31,3,8,0,73,2,2,3,7,6,4,31,1,0,5,4,1,0,1,3,0,0,1,2,0,15,7,3,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,17285,4511,12774,12117,11032,137,571,152,26,199,657,627,59,312,92,13,123,4,0,0,0,0,6,9,3,6,0,19,0,2,3,1,0,0,4,0,0,3,4,1,0,1,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12756,11469,9262,102,465,128,17,1495,1287,1236,27,231,53,7,876,2,0,0,3,0,6,27,0,4,0,38,0,0,3,1,6,0,20,1,0,5,0,0,0,1,0,0,0,1,0,0,12,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12756,2865,9891,9471,8678,101,390,123,17,162,420,401,25,213,52,7,89,2,0,0,0,0,0,9,0,4,0,8,0,0,3,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7658,6575,1083,178,166,129,0,37,0,12,0,0,12
PLST,NV,050,00,00,000,0000009,0500000US32015,32015,4,8,32,01779793,015,H1,00863368,99999,9,999,99999,14294783161,662270,Lander,Lander County,A,5734,2798,+39.9002105,-117.0472398,06,32015,5734,5133,4282,12,268,27,10,534,601,542,5,107,22,10,370,0,3,0,1,0,0,0,7,11,6,43,5,0,0,1,1,0,15,3,1,2,2,2,1,7,0,0,3,0,0,0,13,4,1,1,1,0,0,1,0,0,5,0,0,0,0,0,2,1,1,0,0,0,0,1,1,5734,1256,4478,4244,3975,7,206,27,10,19,234,201,5,96,16,10,61,0,2,0,1,0,0,0,4,6,0,23,4,0,0,0,0,0,6,2,1,0,0,2,0,5,0,0,3,0,0,0,10,4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280,3874,3209,12,209,27,5,412,406,367,1,76,8,8,255,0,3,0,0,0,0,0,7,3,6,26,0,0,0,0,1,0,11,1,1,0,2,2,0,5,0,0,3,0,0,0,11,4,0,1,1,0,0,0,0,0,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4280,859,3421,3252,3028,7,166,27,5,19,169,143,1,71,7,8,49,0,2,0,0,0,0,0,4,1,0,16,0,0,0,0,0,0,4,1,1,0,0,2,0,5,0,0,3,0,0,0,10,4,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798,2292,506,45,19,0,0,19,0,26,0,0,26
PLST,NV,050,00,00,000,0000010,0500000US32017,32017,4,8,32,01779793,017,H1,00863992,99999,9,999,99999,27540342252,9802713,Lincoln,Lincoln County,A,4499,2203,+37.6346050,-114.8630367,06,32017,4499,4303,3950,171,29,21,24,108,196,167,6,69,6,7,78,0,0,0,1,0,0,0,0,0,0,22,0,1,0,0,7,3,3,2,3,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,4499,294,4205,4075,3838,168,26,21,13,9,130,105,4,65,3,7,26,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,4,3,3,1,3,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3414,3292,3008,132,28,21,22,81,122,108,6,43,1,0,58,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3414,193,3221,3140,2945,129,26,21,11,8,81,67,4,39,1,0,23,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2203,1719,484,315,315,236,58,21,0,0,0,0,0
PLST,NV,050,00,00,000,0000011,0500000US32019,32019,4,8,32,01779793,019,H1,00858645,22280,2,456,99999,5187939862,59489121,Lyon,Lyon County,A,59235,24401,+39.0222125,-119.1974246,06,32019,59235,52151,44813,530,1368,980,196,4264,7084,6649,434,1769,533,115,3573,34,13,13,39,5,4,66,38,4,9,391,56,16,18,27,45,13,120,48,36,1,0,2,3,1,0,3,1,0,0,1,26,3,3,6,3,0,2,2,4,1,0,1,0,1,0,0,13,6,7,0,0,0,0,5,5,59235,10339,48896,45265,42350,488,1083,924,168,252,3631,3420,396,1567,486,106,766,23,12,5,13,4,1,0,35,0,6,188,41,10,17,5,42,13,5,48,3,0,0,2,0,0,0,1,0,0,0,1,11,2,0,3,3,0,1,0,0,1,0,1,0,0,0,0,12,5,7,0,0,0,0,0,0,46118,41537,36183,394,1034,802,149,2975,4581,4348,180,1251,279,69,2424,14,10,10,22,1,1,40,35,3,9,212,38,0,4,13,23,6,79,27,14,0,0,0,3,1,0,2,1,0,0,1,15,3,0,6,3,0,1,0,0,1,0,0,0,1,0,0,5,5,0,0,0,0,0,1,1,46118,6747,39371,36992,34698,372,833,767,135,187,2379,2266,170,1139,267,62,547,14,9,5,11,0,1,0,35,0,6,98,27,0,4,5,20,6,5,27,3,0,0,0,0,0,0,0,0,0,0,1,10,2,0,3,3,0,1,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,24401,22704,1697,294,162,55,68,39,0,132,0,0,132
