FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,SD,050,00,00,000,0000002,0500000US46003,46003,2,4,46,01785534,003,H1,01266983,99999,9,999,99999,1834902863,11201379,Aurora,Aurora County,A,2747,1260,+43.7247191,-098.5775872,06,46003,2747,2650,2443,14,38,14,2,139,97,89,1,29,4,1,49,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747,219,2528,2474,2409,14,38,13,0,0,54,51,1,29,3,1,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,1972,1838,5,12,9,2,106,65,61,1,21,4,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037,149,1888,1848,1823,5,12,8,0,0,40,38,1,21,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,1096,164,102,95,0,49,46,0,7,0,0,7
PLST,SD,050,00,00,000,0000003,0500000US46005,46005,2,4,46,01785534,005,H1,01266986,26700,2,999,99999,3260011987,15834230,Beadle,Beadle County,A,19149,8396,+44.4182649,-098.2794224,06,46005,19149,17825,13861,165,328,2071,58,1342,1324,1291,134,232,42,3,827,18,0,0,3,2,1,19,10,0,0,28,9,0,0,10,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19149,2741,16408,15907,13369,142,243,2068,57,28,501,476,132,200,42,3,73,13,0,0,0,0,1,2,10,0,0,20,8,0,0,3,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13934,13223,10866,105,203,1250,29,770,711,701,41,129,20,1,492,0,0,0,3,0,0,7,8,0,0,9,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13934,1547,12387,12147,10619,90,150,1247,29,12,240,236,41,115,20,1,51,0,0,0,0,0,0,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8396,7369,1027,514,276,24,36,216,0,238,0,0,238
PLST,SD,050,00,00,000,0000004,0500000US46007,46007,2,4,46,01785534,007,H1,01265812,99999,9,999,99999,3068208306,15044356,Bennett,Bennett County,A,3381,1177,+43.1869121,-101.6771810,06,46007,3381,3122,1011,7,2093,7,0,4,259,235,7,202,0,0,14,9,0,0,0,0,3,0,0,0,0,24,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381,87,3294,3073,997,7,2060,7,0,2,221,212,7,192,0,0,4,6,0,0,0,0,3,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,2126,878,7,1232,5,0,4,141,132,6,113,0,0,10,3,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,39,2228,2100,865,7,1221,5,0,2,128,122,6,112,0,0,1,3,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,1085,92,52,42,0,0,42,0,10,0,0,10
PLST,SD,050,00,00,000,0000005,0500000US46009,46009,2,4,46,01785534,009,H1,01266997,99999,9,999,99999,1459586268,46799495,Bon Homme,Bon Homme County,A,7003,2810,+42.9857990,-097.8841987,06,46009,7003,6847,6194,107,459,11,5,71,156,141,17,73,11,6,34,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003,117,6886,6743,6160,106,455,11,5,6,143,134,17,69,11,6,31,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5707,5617,5010,104,433,7,2,61,90,78,7,38,3,6,24,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5707,90,5617,5538,4992,104,429,7,2,4,79,71,7,34,3,6,21,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,2378,432,1372,1372,1234,0,138,0,0,0,0,0
PLST,SD,050,00,00,000,0000006,0500000US46011,46011,2,4,46,01785534,011,H1,01265779,15100,2,999,99999,2051833299,32942236,Brookings,Brookings County,A,34375,14849,+44.3766745,-096.7977971,06,46011,34375,32918,30291,637,414,917,13,646,1457,1404,192,479,185,3,483,16,4,3,10,2,0,19,2,6,0,53,17,1,0,0,7,0,19,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34375,1427,32948,31911,29922,628,372,912,13,64,1037,1014,172,456,185,3,175,12,4,0,1,0,0,0,0,6,0,23,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27141,26245,24281,468,276,769,13,438,896,864,83,300,102,3,324,12,4,3,10,2,0,19,2,0,0,32,11,1,0,0,0,0,11,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27141,923,26218,25598,24062,459,250,764,13,50,620,606,73,289,102,3,123,11,4,0,1,0,0,0,0,0,0,14,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14849,13120,1729,3200,271,32,0,239,0,2929,2884,0,45
PLST,SD,050,00,00,000,0000007,0500000US46013,46013,2,4,46,01785534,013,H1,01265785,10100,2,999,99999,4436728205,46414569,Brown,Brown County,A,38301,17885,+45.5892542,-098.3521746,06,46013,38301,36527,33096,566,1198,922,45,700,1774,1707,217,663,129,15,616,26,6,0,24,2,1,6,1,1,0,59,15,1,0,16,19,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,6,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,38301,1659,36642,35401,32705,535,1103,918,44,96,1241,1202,214,642,122,10,177,23,6,0,3,2,1,0,1,1,0,38,14,1,0,3,15,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29240,28245,25872,404,774,650,38,507,995,960,95,361,53,9,396,16,6,0,21,1,1,0,0,1,0,32,9,1,0,7,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29240,1076,28164,27493,25634,379,732,646,37,65,671,649,92,355,52,4,124,13,6,0,0,1,1,0,0,1,0,22,8,1,0,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17885,16130,1755,1176,378,24,12,342,0,798,605,0,193
PLST,SD,050,00,00,000,0000008,0500000US46015,46015,2,4,46,01785534,015,H1,01265768,99999,9,999,99999,2116594503,75770744,Brule,Brule County,A,5247,2344,+43.7298732,-099.0929090,06,46015,5247,4966,4365,33,518,26,5,19,281,271,8,180,5,1,66,4,2,0,0,0,0,4,1,0,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5247,106,5141,4900,4340,28,495,26,5,6,241,231,8,172,5,1,38,4,2,0,0,0,0,0,1,0,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4014,3840,3452,23,316,25,5,19,174,174,0,115,5,0,45,2,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4014,75,3939,3797,3436,18,307,25,5,6,142,142,0,107,5,0,25,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2344,2024,320,410,139,0,0,139,0,271,0,0,271
PLST,SD,050,00,00,000,0000009,0500000US46017,46017,2,4,46,01785534,017,H1,01265767,99999,9,999,99999,1220933806,42362357,Buffalo,Buffalo County,A,1948,570,+44.0443062,-099.2039983,06,46017,1948,1872,286,0,1585,1,0,0,76,68,3,57,2,0,5,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,13,1935,1869,286,0,1582,1,0,0,66,62,2,55,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,1154,211,0,943,0,0,0,42,37,2,32,2,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,10,1186,1151,211,0,940,0,0,0,35,34,2,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,497,73,0,0,0,0,0,0,0,0,0,0
PLST,SD,050,00,00,000,0000010,0500000US46019,46019,2,4,46,01785534,019,H1,01265793,99999,9,999,99999,5827498555,42750488,Butte,Butte County,A,10243,4673,+44.8962264,-103.5014361,06,46019,10243,9692,9319,12,205,30,5,121,551,519,26,280,20,9,171,2,0,0,3,0,1,2,4,0,1,30,11,5,0,9,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10243,410,9833,9406,9147,12,182,30,5,30,427,410,26,257,20,7,93,2,0,0,1,0,0,0,4,0,0,17,11,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7767,7428,7161,11,137,21,5,93,339,323,3,170,7,8,126,2,0,0,1,0,1,0,4,0,1,14,6,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7767,228,7539,7266,7075,11,128,21,5,26,273,262,3,165,7,6,75,2,0,0,0,0,0,0,4,0,0,11,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4673,4196,477,97,83,0,0,83,0,14,0,0,14
PLST,SD,050,00,00,000,0000011,0500000US46021,46021,2,4,46,01785534,021,H1,01266974,99999,9,999,99999,1900214169,96243697,Campbell,Campbell County,A,1377,900,+45.7855747,-100.0021074,06,46021,1377,1326,1282,0,31,6,0,7,51,46,3,16,4,0,20,1,0,0,0,0,0,1,1,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,37,1340,1307,1270,0,31,6,0,0,33,28,2,15,4,0,6,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,1080,1046,0,21,6,0,7,22,20,2,8,0,0,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,25,1077,1066,1039,0,21,6,0,0,11,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,640,260,0,0,0,0,0,0,0,0,0,0
