FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,VT,050,00,00,000,0000002,0500000US50001,50001,1,1,50,01779802,001,H1,01461757,99999,9,999,99999,1984209520,107311666,Addison,Addison County,A,37363,17385,+44.0312479,-073.1415807,06,50001,37363,35321,33793,368,113,597,11,439,2042,1934,143,698,269,11,776,5,3,0,24,0,0,5,0,0,0,91,35,0,1,12,4,0,16,9,5,0,0,0,0,1,0,4,0,0,0,4,9,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,2,2,1,1,37363,1153,36210,34576,33440,342,80,594,10,110,1634,1579,130,676,266,11,479,5,3,0,9,0,0,0,0,0,0,44,26,0,1,1,2,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,8,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,1,31009,29553,28197,317,94,539,10,396,1456,1395,89,530,183,6,563,5,3,0,12,0,0,4,0,0,0,52,19,0,1,7,4,0,6,9,1,0,0,0,0,1,0,0,0,0,0,4,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,31009,918,30091,28901,27900,291,64,536,9,101,1190,1149,82,520,182,6,346,5,3,0,5,0,0,0,0,0,0,34,17,0,1,0,2,0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17385,14906,2479,2998,223,0,0,223,0,2775,2595,0,180
PLST,VT,050,00,00,000,0000003,0500000US50003,50003,1,1,50,01779802,003,H1,01461758,13540,2,999,99999,1747741036,6891098,Bennington,Bennington County,A,37347,20815,+43.0353254,-073.1114603,06,50003,37347,35417,34183,430,70,406,5,323,1930,1865,239,654,173,4,756,17,1,0,10,0,1,1,1,6,2,58,21,1,1,6,6,5,9,8,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37347,939,36408,34886,33897,405,63,397,5,119,1522,1479,216,628,173,4,424,17,1,0,8,0,1,0,1,6,0,38,19,1,0,1,6,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30185,28884,27937,316,53,329,5,244,1301,1257,102,489,89,4,548,12,1,0,5,0,1,1,1,2,2,37,12,0,1,1,6,5,9,2,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30185,639,29546,28507,27734,301,53,321,5,93,1039,1011,92,480,89,4,324,12,1,0,5,0,1,0,1,2,0,23,12,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20815,15699,5116,1447,552,0,67,477,8,895,649,0,246
PLST,VT,050,00,00,000,0000004,0500000US50005,50005,1,1,50,01779802,005,H1,01461759,99999,9,999,99999,1680273211,22375999,Caledonia,Caledonia County,A,30233,15997,+44.4687907,-072.1121676,06,50005,30233,28581,27656,234,100,368,17,206,1652,1559,114,735,118,2,581,3,0,0,2,0,2,0,0,2,0,78,31,12,4,6,2,0,11,7,0,2,0,0,0,0,3,0,0,0,0,0,9,1,0,3,0,3,0,1,0,0,0,0,0,0,1,0,6,0,6,0,0,0,0,0,0,30233,605,29628,28272,27465,214,94,363,17,119,1356,1294,102,734,111,2,339,0,0,0,2,0,2,0,0,2,0,58,25,12,4,3,2,0,3,6,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24125,22990,22313,160,90,252,14,161,1135,1081,51,541,56,2,427,0,0,0,0,0,2,0,0,2,0,44,14,6,4,5,2,0,8,0,0,2,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,24125,422,23703,22763,22176,149,84,248,14,92,940,905,44,540,54,2,261,0,0,0,0,0,2,0,0,2,0,35,14,6,4,3,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15997,12654,3343,1060,242,122,0,120,0,818,374,0,444
PLST,VT,050,00,00,000,0000005,0500000US50007,50007,1,1,50,01779802,007,H1,01461760,15540,1,162,99999,1391556759,214228923,Chittenden,Chittenden County,A,168323,73085,+44.4633289,-073.0694099,06,50007,168323,158374,144237,4910,384,7243,53,1547,9949,9378,1186,2492,1655,58,3643,55,30,9,140,30,0,32,11,36,1,519,157,46,4,108,51,1,89,24,26,4,0,0,1,0,4,0,0,0,1,3,47,9,2,30,0,3,0,0,0,1,0,0,2,0,0,0,4,0,4,0,0,0,0,1,1,168323,4751,163572,155942,142880,4757,291,7203,49,762,7630,7313,1112,2407,1624,58,1888,44,29,9,66,29,0,0,11,35,1,301,128,44,3,35,47,1,17,24,2,0,0,0,0,0,0,0,0,0,0,0,15,8,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,138600,131888,121404,3229,315,5683,53,1204,6712,6378,526,1922,921,37,2707,53,19,9,102,24,0,21,11,26,0,304,94,23,0,51,32,0,64,16,17,4,0,0,1,0,1,0,0,0,1,0,26,1,1,22,0,0,0,0,0,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,138600,3544,135056,129978,120337,3140,238,5648,49,566,5078,4908,507,1880,902,37,1413,42,19,9,39,24,0,0,11,25,0,165,75,21,0,12,28,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73085,69052,4033,9866,888,94,60,718,16,8978,8115,0,863
PLST,VT,050,00,00,000,0000006,0500000US50009,50009,1,1,50,01779802,009,H1,01461761,99999,9,999,99999,1715969342,28693354,Essex,Essex County,A,5920,4867,+44.7240209,-071.7327362,06,50009,5920,5630,5566,15,18,16,5,10,290,274,10,145,17,0,89,2,0,3,3,0,0,3,0,2,0,15,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5920,67,5853,5599,5544,15,14,16,5,5,254,243,9,145,17,0,67,0,0,3,0,0,0,0,0,2,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891,4667,4620,9,15,16,0,7,224,220,5,118,16,0,70,0,0,3,3,0,0,3,0,2,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891,40,4851,4653,4610,9,13,16,0,5,198,197,5,118,16,0,53,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4867,2695,2172,53,0,0,0,0,0,53,0,0,53
PLST,VT,050,00,00,000,0000007,0500000US50011,50011,1,1,50,01779802,011,H1,01461762,15540,1,162,99999,1633443915,150143028,Franklin,Franklin County,A,49946,22642,+44.8589643,-072.9094023,06,50011,49946,46987,45509,338,501,321,16,302,2959,2850,205,1578,190,10,830,8,3,0,11,0,0,5,5,2,3,95,47,0,0,7,6,1,17,3,12,0,1,0,0,0,0,0,0,0,0,1,14,9,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49946,915,49031,46491,45239,321,483,312,16,120,2540,2472,203,1561,185,10,488,8,3,0,7,0,0,0,5,2,0,57,39,0,0,0,5,1,2,2,7,0,0,0,0,0,0,0,0,0,0,1,11,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38887,36885,35750,253,388,247,12,235,2002,1932,68,1155,71,10,603,3,3,0,4,0,0,5,5,2,3,62,34,0,0,4,3,1,12,1,5,0,1,0,0,0,0,0,0,0,0,1,8,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38887,624,38263,36533,35570,245,374,244,12,88,1730,1683,66,1148,71,10,375,3,3,0,0,0,0,0,5,2,0,41,29,0,0,0,2,1,2,1,5,0,0,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22642,19918,2724,681,543,198,0,345,0,138,0,0,138
PLST,VT,050,00,00,000,0000008,0500000US50013,50013,1,1,50,01779802,013,H1,01461763,15540,1,162,99999,211781772,292265362,Grand Isle,Grand Isle County,A,7293,5265,+44.7957425,-073.2950822,06,50013,7293,6894,6724,51,45,33,0,41,399,381,16,205,22,9,111,3,0,0,5,0,0,2,5,3,0,15,2,0,1,0,0,0,1,1,3,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,7293,127,7166,6831,6697,49,39,30,0,16,335,324,16,199,22,9,67,3,0,0,0,0,0,2,5,1,0,11,1,0,1,0,0,0,0,0,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6023,5738,5612,34,40,27,0,25,285,276,8,154,8,9,86,3,0,0,0,0,0,2,5,1,0,8,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6023,76,5947,5693,5594,32,34,27,0,6,254,247,8,154,8,9,57,3,0,0,0,0,0,2,5,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5265,3170,2095,0,0,0,0,0,0,0,0,0,0
PLST,VT,050,00,00,000,0000009,0500000US50015,50015,1,1,50,01779802,015,H1,01461764,99999,9,999,99999,1197230858,12696348,Lamoille,Lamoille County,A,25945,13878,+44.6111921,-072.6326590,06,50015,25945,24446,23778,225,89,141,2,211,1499,1388,159,526,100,18,552,8,0,0,15,0,0,1,4,5,0,87,13,0,3,30,2,5,29,0,0,0,0,0,1,3,0,0,0,0,1,0,18,10,1,4,2,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,2,2,25945,651,25294,24153,23585,217,88,141,1,121,1141,1072,159,502,99,18,280,5,0,0,0,0,0,0,4,5,0,50,13,0,3,19,2,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,13,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,2,20744,19723,19185,186,74,121,2,155,1021,958,76,396,44,14,406,7,0,0,10,0,0,0,4,1,0,47,9,0,0,14,0,3,17,0,0,0,0,0,0,3,0,0,0,0,1,0,11,5,1,2,2,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,2,2,20744,444,20300,19524,19069,178,73,121,1,82,776,729,76,376,43,14,211,4,0,0,0,0,0,0,4,1,0,34,9,0,0,14,0,3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,8,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,13878,10994,2884,638,56,0,0,56,0,582,418,0,164
PLST,VT,050,00,00,000,0000010,0500000US50017,50017,1,1,50,01779802,017,H1,01461765,30100,2,999,99999,1779816925,12026595,Orange,Orange County,A,29277,14953,+44.0033492,-072.3694641,06,50017,29277,27642,26978,162,135,166,5,196,1635,1560,132,706,104,8,601,0,1,0,2,4,0,0,2,0,0,67,15,10,0,3,17,1,15,0,0,5,0,0,1,0,0,0,0,0,0,0,7,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29277,477,28800,27400,26852,151,113,160,5,119,1400,1348,128,692,100,8,415,0,1,0,0,2,0,0,2,0,0,46,12,10,0,3,16,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23692,22567,22035,121,115,139,5,152,1125,1087,48,553,45,5,432,0,0,0,2,0,0,0,2,0,0,37,15,7,0,0,1,1,7,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23692,336,23356,22387,21941,117,97,135,5,92,969,944,44,541,45,5,307,0,0,0,0,0,0,0,2,0,0,24,12,7,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14953,12364,2589,635,63,0,1,62,0,572,357,0,215
PLST,VT,050,00,00,000,0000011,0500000US50019,50019,1,1,50,01779802,019,H1,01461766,99999,9,999,99999,1798784030,71420937,Orleans,Orleans County,A,27393,16376,+44.8284417,-072.2516300,06,50019,27393,26066,25464,131,198,123,1,149,1327,1262,135,658,97,8,340,6,0,0,11,0,0,4,0,3,0,57,28,2,0,0,3,0,3,4,1,7,0,2,4,1,0,0,2,0,0,0,5,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,27393,462,26931,25762,25259,127,197,119,1,59,1169,1115,131,651,97,8,207,6,0,0,11,0,0,4,0,0,0,51,24,2,0,0,3,0,3,4,1,7,0,2,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,22135,21222,20735,100,165,104,0,118,913,868,51,503,44,4,250,4,0,0,5,0,0,4,0,3,0,42,19,2,0,0,0,0,3,4,0,7,0,0,4,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,22135,299,21836,21020,20614,96,164,100,0,46,816,777,51,496,44,4,169,4,0,0,5,0,0,4,0,0,0,37,16,2,0,0,0,0,3,4,0,7,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,16376,11698,4678,761,586,360,0,226,0,175,124,0,51
