FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,WV,050,00,00,000,0000002,0500000US54001,54001,3,5,54,01779805,001,H1,01696996,99999,9,999,99999,883338376,4639586,Barbour,Barbour County,A,15465,7114,+39.1397248,-079.9969466,06,54001,15465,14842,14460,271,37,32,0,42,623,557,111,271,13,0,147,4,3,0,7,1,0,0,0,0,0,65,43,4,0,9,3,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15465,192,15273,14717,14379,259,37,32,0,10,556,508,104,270,12,0,113,4,3,0,1,1,0,0,0,0,0,47,36,4,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12330,11908,11561,256,32,24,0,35,422,379,42,196,10,0,119,2,3,0,6,1,0,0,0,0,0,43,30,0,0,4,3,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12330,141,12189,11806,11499,244,32,24,0,7,383,349,42,196,10,0,95,2,3,0,0,1,0,0,0,0,0,34,28,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114,6168,946,718,103,0,0,103,0,615,593,0,22
PLST,WV,050,00,00,000,0000003,0500000US54003,54003,3,5,54,01779805,003,H1,01550008,25180,1,548,99999,831767529,1060958,Berkeley,Berkeley County,A,122076,50868,+39.4479382,-078.0377535,06,54003,122076,112356,98281,9364,407,1496,52,2756,9720,9171,2777,2247,723,42,2831,137,55,11,255,5,0,34,12,39,3,504,221,57,10,78,23,0,75,24,6,4,4,0,2,0,0,0,0,0,0,0,45,1,4,31,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122076,6893,115183,107960,96559,9118,284,1445,43,511,7223,6871,2641,2185,698,41,980,130,52,11,92,5,0,0,11,25,0,338,196,49,10,24,23,0,2,24,2,4,3,0,1,0,0,0,0,0,0,0,14,1,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93351,87915,77308,7163,320,1206,47,1871,5436,5176,913,1702,358,24,1829,100,16,6,148,5,0,31,7,34,3,224,107,14,1,28,13,0,41,10,5,0,4,0,1,0,0,0,0,0,0,0,36,0,4,28,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93351,4217,89134,85127,76323,7032,223,1179,39,331,4007,3846,892,1664,342,24,724,98,16,6,48,5,0,0,7,20,0,149,96,14,1,8,13,0,2,10,1,0,3,0,1,0,0,0,0,0,0,0,12,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50868,47216,3652,971,790,515,56,213,6,181,26,0,155
PLST,WV,050,00,00,000,0000004,0500000US54005,54005,3,5,54,01779805,005,H1,01550009,16620,1,170,99999,1298967362,4305989,Boone,Boone County,A,21809,10132,+38.0228143,-081.7135382,06,54005,21809,21033,20780,135,46,36,2,34,776,734,79,450,38,5,150,0,7,3,0,0,0,0,1,1,0,38,11,6,1,5,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21809,133,21676,20942,20712,135,39,36,2,18,734,710,79,448,38,5,129,0,7,3,0,0,0,0,1,0,0,23,8,6,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,16696,16509,107,37,22,2,19,570,542,29,355,23,4,122,0,4,3,0,0,0,0,1,1,0,25,11,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17266,89,17177,16638,16462,107,37,22,2,8,539,522,29,353,23,4,105,0,4,3,0,0,0,0,1,0,0,17,8,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10132,8878,1254,144,133,0,34,99,0,11,0,0,11
PLST,WV,050,00,00,000,0000005,0500000US54007,54007,3,5,54,01779805,007,H1,01550010,99999,9,999,99999,1322796522,14344826,Braxton,Braxton County,A,12447,6251,+38.6993304,-080.7316597,06,54007,12447,12104,11976,50,19,23,11,25,343,329,46,174,19,1,82,0,1,0,5,0,0,0,1,0,0,8,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12447,85,12362,12057,11939,50,19,23,11,15,305,294,46,173,19,1,53,0,0,0,2,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10087,9870,9747,46,19,23,11,24,217,213,22,115,10,1,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10087,54,10033,9835,9722,46,19,23,11,14,198,194,22,114,10,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6251,5175,1076,436,436,370,0,66,0,0,0,0,0
PLST,WV,050,00,00,000,0000006,0500000US54009,54009,3,5,54,01779805,009,H1,01558262,48260,1,430,99999,231015795,8732461,Brooke,Brooke County,A,22559,10719,+40.2726454,-080.5786910,06,54009,22559,21485,20915,368,39,55,0,108,1074,1030,226,330,54,3,395,6,0,0,6,0,0,6,3,1,0,41,19,0,0,2,10,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,22559,287,22272,21318,20792,365,36,55,0,70,954,920,226,315,54,3,306,6,0,0,6,0,0,1,3,0,0,31,19,0,0,2,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,18495,17805,17351,305,32,50,0,67,690,670,80,265,25,0,288,5,0,0,3,0,0,1,3,0,0,20,12,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18495,175,18320,17704,17276,303,32,50,0,43,616,599,80,258,25,0,224,5,0,0,3,0,0,1,3,0,0,17,12,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10719,9683,1036,687,199,0,8,191,0,488,455,0,33
PLST,WV,050,00,00,000,0000007,0500000US54011,54011,3,5,54,01779805,011,H1,01550012,26580,1,170,99999,727845449,18114546,Cabell,Cabell County,A,94350,46125,+38.4195778,-082.2433966,06,54011,94350,89708,82665,4811,209,1345,20,658,4642,4447,1507,1585,320,27,866,40,18,0,59,1,3,0,10,8,3,188,95,27,7,15,16,10,11,3,1,2,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94350,1562,92788,88677,82095,4751,185,1328,20,298,4111,3948,1471,1563,316,27,449,40,18,0,46,1,1,0,10,6,0,157,87,25,7,12,14,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76413,73538,67927,3782,187,1133,20,489,2875,2767,574,1259,170,12,664,39,10,0,26,0,1,0,10,2,0,101,55,18,6,7,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76413,1108,75305,72772,67517,3752,164,1116,20,203,2533,2433,566,1245,166,12,367,39,10,0,17,0,1,0,10,0,0,94,55,18,6,7,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46125,39921,6204,4488,1957,621,77,1004,255,2531,2055,0,476
PLST,WV,050,00,00,000,0000008,0500000US54013,54013,3,5,54,01779805,013,H1,01696945,99999,9,999,99999,723253605,3703371,Calhoun,Calhoun County,A,6229,3181,+38.8441591,-081.1154775,06,54013,6229,6045,6003,13,12,13,2,2,184,180,17,112,6,0,42,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6229,48,6181,6017,5976,13,12,12,2,2,164,162,17,101,6,0,36,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5009,4873,4841,8,12,12,0,0,136,134,6,89,6,0,32,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5009,31,4978,4861,4829,8,12,12,0,0,117,117,6,78,6,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181,2699,482,26,26,0,0,26,0,0,0,0,0
PLST,WV,050,00,00,000,0000009,0500000US54015,54015,3,5,54,01779805,015,H1,01550014,16620,1,170,99999,885617417,4862288,Clay,Clay County,A,8051,3907,+38.4598259,-081.0818663,06,54015,8051,7730,7671,13,29,16,0,1,321,295,18,217,1,4,50,0,0,0,0,0,0,0,1,4,0,18,6,1,0,0,3,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,3,0,0,0,0,0,0,0,8051,52,7999,7705,7651,11,29,13,0,1,294,276,18,217,1,4,31,0,0,0,0,0,0,0,1,4,0,15,4,1,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6320,6097,6052,6,29,10,0,0,223,203,4,172,0,0,23,0,0,0,0,0,0,0,0,4,0,15,5,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6320,31,6289,6075,6032,4,29,10,0,0,214,200,4,172,0,0,20,0,0,0,0,0,0,0,0,4,0,14,4,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3907,3224,683,54,54,0,0,54,0,0,0,0,0
PLST,WV,050,00,00,000,0000010,0500000US54017,54017,3,5,54,01779805,017,H1,01689476,17220,2,999,99999,828078406,1950541,Doddridge,Doddridge County,A,7808,3241,+39.2643068,-080.7114979,06,54017,7808,7546,7304,174,18,15,0,35,262,247,16,139,0,0,85,0,1,0,0,2,0,3,0,1,0,15,6,1,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7808,77,7731,7509,7290,174,15,15,0,15,222,210,16,136,0,0,56,0,1,0,0,0,0,0,0,1,0,12,4,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6424,6234,6015,168,15,13,0,23,190,185,5,106,0,0,71,0,1,0,0,0,0,1,0,1,0,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6424,49,6375,6208,6006,168,15,13,0,6,167,163,5,103,0,0,53,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3241,2713,528,1127,1127,1127,0,0,0,0,0,0,0
PLST,WV,050,00,00,000,0000011,0500000US54019,54019,3,5,54,01779805,019,H1,01560095,13220,1,999,99999,1713569360,17443841,Fayette,Fayette County,A,40488,19089,+38.0309328,-081.0860508,06,54019,40488,38580,36483,1680,104,105,2,206,1908,1830,404,812,49,13,510,20,5,2,7,0,4,0,0,2,2,77,24,13,4,14,3,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40488,525,39963,38290,36308,1662,100,105,1,114,1673,1613,394,801,47,13,316,20,5,2,7,0,4,0,0,2,2,59,24,13,4,9,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32082,30802,29093,1393,85,85,2,144,1280,1239,132,657,26,13,382,16,5,2,0,0,4,0,0,0,2,41,18,2,4,6,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32082,357,31725,30602,28972,1382,85,85,1,77,1123,1088,128,654,26,13,238,16,5,2,0,0,4,0,0,0,2,35,18,2,4,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19089,16441,2648,1485,1472,1058,36,378,0,13,0,0,13
